case,input_width,order_name,order_bits,prefix_len,suffix_width,prefixes,residual_classes,max_class_size,top_class_sizes
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,1,12,2,2,1,1:1
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,2,11,4,4,1,1:1:1:1
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,3,10,8,8,1,1:1:1:1:1:1:1:1
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,4,9,16,16,1,1:1:1:1:1:1:1:1
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,5,8,32,32,1,1:1:1:1:1:1:1:1
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,6,7,64,48,2,2:2:2:2:2:2:2:2
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,7,6,128,96,2,2:2:2:2:2:2:2:2
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,8,5,256,128,4,4:4:4:4:4:4:4:4
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,9,4,512,256,4,4:4:4:4:4:4:4:4
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,10,3,1024,512,4,4:4:4:4:4:4:4:4
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,11,2,2048,1024,4,4:4:4:4:4:4:4:4
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,12,1,4096,1674,12,12:12:8:8:8:8:8:8
ex286,13,natural,0:1:2:3:4:5:6:7:8:9:10:11:12,13,0,8192,2233,32,32:32:28:24:24:20:20:20
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,1,12,2,2,1,1:1
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,2,11,4,4,1,1:1:1:1
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,3,10,8,8,1,1:1:1:1:1:1:1:1
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,4,9,16,16,1,1:1:1:1:1:1:1:1
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,5,8,32,32,1,1:1:1:1:1:1:1:1
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,6,7,64,64,1,1:1:1:1:1:1:1:1
