case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_msb_split_wallace_csel6_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_csel6.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_csel6_abc_g_aig.aig,1,1,1,719,52,37388,15078,2.479639,0,0,0.814,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_csel6; flow=abc_g_aig
ex273,ex273_square_msb_split_wallace_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_csel6.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_csel6_wreduce_abc_g_aig.aig,1,1,1,722,52,37544,15078,2.489985,0,0,0.832,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_msb_split_wallace_csel6_synth_preset,unsigned_square_x_times_x,msb_split_wallace_csel6+synth_preset,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_csel6.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_csel6_synth_preset.aig,1,1,1,720,51,36720,15078,2.435336,0,0,0.979,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_csel6; flow=synth_preset
ex273,ex273_square_msb_split_wallace_csel6_synth_preset_d20,unsigned_square_x_times_x,msb_split_wallace_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_csel6.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_csel6_synth_preset_d20.aig,1,1,1,720,51,36720,15078,2.435336,0,0,0.995,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_csel6; flow=synth_preset_d20
ex273,ex273_square_msb_split_wallace_csel8_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_csel8.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_csel8_abc_g_aig.aig,1,1,1,737,54,39798,15078,2.639475,0,0,0.833,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_csel8; flow=abc_g_aig
ex273,ex273_square_msb_split_wallace_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_csel8.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_csel8_wreduce_abc_g_aig.aig,1,1,1,741,54,40014,15078,2.653800,0,0,0.832,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_msb_split_wallace_csel8_synth_preset,unsigned_square_x_times_x,msb_split_wallace_csel8+synth_preset,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_csel8.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_csel8_synth_preset.aig,1,1,1,733,51,37383,15078,2.479308,0,0,0.983,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_csel8; flow=synth_preset
ex273,ex273_square_msb_split_wallace_csel8_synth_preset_d20,unsigned_square_x_times_x,msb_split_wallace_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_csel8.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_csel8_synth_preset_d20.aig,1,1,1,733,51,37383,15078,2.479308,0,0,0.999,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_csel8; flow=synth_preset_d20
ex273,ex273_square_msb_split_wallace_hcla4_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_hcla4.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_hcla4_abc_g_aig.aig,1,1,1,719,50,35950,15078,2.384268,0,0,0.827,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_hcla4; flow=abc_g_aig
ex273,ex273_square_msb_split_wallace_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_hcla4.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,721,50,36050,15078,2.390901,0,0,0.858,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_hcla4; flow=wreduce_abc_g_aig
ex273,ex273_square_msb_split_wallace_hcla4_synth_preset,unsigned_square_x_times_x,msb_split_wallace_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_hcla4.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_hcla4_synth_preset.aig,1,1,1,709,49,34741,15078,2.304085,0,0,1.000,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_hcla4; flow=synth_preset
