case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex255,ex255_umul_direct_context_default,1,91,19,1729,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_direct_context_default.aig,exact unsigned low4 * high4 over 256 inputs; source=direct_context; flow=default
ex255,ex255_umul_direct_context_wreduce_default,1,91,19,1729,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_direct_context_wreduce_default.aig,exact unsigned low4 * high4 over 256 inputs; source=direct_context; flow=wreduce_default
ex255,ex255_umul_direct_context_abc_g_aig,1,89,19,1691,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_direct_context_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=direct_context; flow=abc_g_aig
ex255,ex255_umul_direct_context_wreduce_abc_g_aig,1,89,19,1691,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_direct_context_wreduce_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=direct_context; flow=wreduce_abc_g_aig
ex255,ex255_umul_direct_context_arith_wreduce_aig,1,89,19,1691,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_direct_context_arith_wreduce_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=direct_context; flow=arith_wreduce_aig
ex255,ex255_umul_direct_context_synth_preset,1,89,19,1691,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_direct_context_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=direct_context; flow=synth_preset
ex255,ex255_umul_wide_ext_direct_default,1,97,16,1552,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_wide_ext_direct_default.aig,exact unsigned low4 * high4 over 256 inputs; source=wide_ext_direct; flow=default
ex255,ex255_umul_wide_ext_direct_wreduce_default,1,91,19,1729,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_wide_ext_direct_wreduce_default.aig,exact unsigned low4 * high4 over 256 inputs; source=wide_ext_direct; flow=wreduce_default
ex255,ex255_umul_wide_ext_direct_abc_g_aig,1,97,16,1552,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_wide_ext_direct_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=wide_ext_direct; flow=abc_g_aig
ex255,ex255_umul_wide_ext_direct_wreduce_abc_g_aig,1,89,19,1691,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_wide_ext_direct_wreduce_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=wide_ext_direct; flow=wreduce_abc_g_aig
ex255,ex255_umul_wide_ext_direct_arith_wreduce_aig,1,89,19,1691,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_wide_ext_direct_arith_wreduce_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=wide_ext_direct; flow=arith_wreduce_aig
