case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_column_carry_wreduce_default,unsigned low4_high4:a*b,column_carry+wreduce_default,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_wreduce_default.aig,1,1,1,88,32,2816,836,3.368421,0,0,0.234,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=wreduce_default
ex255,ex255_umul_column_carry_abc_g_aig,unsigned low4_high4:a*b,column_carry+abc_g_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_abc_g_aig.aig,1,1,1,86,35,3010,836,3.600478,0,0,0.224,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=abc_g_aig
ex255,ex255_umul_column_carry_wreduce_abc_g_aig,unsigned low4_high4:a*b,column_carry+wreduce_abc_g_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_wreduce_abc_g_aig.aig,1,1,1,88,32,2816,836,3.368421,0,0,0.233,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=wreduce_abc_g_aig
ex255,ex255_umul_column_carry_arith_wreduce_aig,unsigned low4_high4:a*b,column_carry+arith_wreduce_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_arith_wreduce_aig.aig,1,1,1,84,35,2940,836,3.516746,0,0,0.234,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=arith_wreduce_aig
ex255,ex255_umul_column_carry_synth_preset,unsigned low4_high4:a*b,column_carry+synth_preset,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_synth_preset.aig,1,1,1,84,35,2940,836,3.516746,0,0,0.288,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=synth_preset
ex255,ex255_umul_case_b_const_default,unsigned low4_high4:a*b,case_b_const+default,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_case_b_const.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_default.aig,1,1,1,259,11,2849,836,3.407895,0,0,0.277,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=default
ex255,ex255_umul_case_b_const_wreduce_default,unsigned low4_high4:a*b,case_b_const+wreduce_default,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_case_b_const.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_wreduce_default.aig,1,1,1,264,13,3432,836,4.105263,0,0,0.293,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=wreduce_default
ex255,ex255_umul_case_b_const_abc_g_aig,unsigned low4_high4:a*b,case_b_const+abc_g_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_case_b_const.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_abc_g_aig.aig,1,1,1,251,10,2510,836,3.002392,0,0,0.277,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=abc_g_aig
ex255,ex255_umul_case_b_const_wreduce_abc_g_aig,unsigned low4_high4:a*b,case_b_const+wreduce_abc_g_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_case_b_const.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_wreduce_abc_g_aig.aig,1,1,1,257,11,2827,836,3.381579,0,0,0.295,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=wreduce_abc_g_aig
ex255,ex255_umul_case_b_const_arith_wreduce_aig,unsigned low4_high4:a*b,case_b_const+arith_wreduce_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_case_b_const.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_arith_wreduce_aig.aig,1,1,1,255,10,2550,836,3.050239,0,0,0.292,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=arith_wreduce_aig
