case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_nested_default_and,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|default_and,OK,1,367,23,8441,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_nested_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_nested_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_nested_default_and.evaluate.py.log,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_nested_default_aig,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|default_aig,OK,1,363,23,8349,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_nested_default_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_nested_default_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_nested_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_nested_synth_preset_and,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|synth_preset_and,OK,1,362,25,9050,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_nested_synth_preset_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_nested_synth_preset_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_nested_synth_preset_and.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_nested_synth_preset_aig,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|synth_preset_aig,OK,1,356,24,8544,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_nested_synth_preset_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_nested_synth_preset_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_nested_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_flat_default_and,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|default_and,OK,1,398,26,10348,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_flat_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_flat_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_flat_default_and.evaluate.py.log,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_flat_default_aig,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|default_aig,OK,1,386,26,10036,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_flat_default_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_flat_default_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_flat_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_flat_synth_preset_and,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|synth_preset_and,OK,1,408,25,10200,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_flat_synth_preset_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_flat_synth_preset_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_flat_synth_preset_and.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_flat_synth_preset_aig,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|synth_preset_aig,OK,1,393,24,9432,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_flat_synth_preset_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_flat_synth_preset_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_flat_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_direct_default_and,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|default_and,OK,1,379,28,10612,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_direct_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_direct_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_direct_default_and.evaluate.py.log,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_direct_default_aig,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|default_aig,OK,1,371,28,10388,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_direct_default_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_direct_default_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_direct_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_direct_synth_preset_and,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|synth_preset_and,OK,1,376,24,9024,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_direct_synth_preset_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_direct_synth_preset_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_direct_synth_preset_and.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_and
