case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_wallace_square_outside_csel2_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel2+abc_g_aig,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel2.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel2_abc_g_aig.aig,1,1,1,191,20,3820,2076,1.840077,0,0,0.290,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel2; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel2_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel2+wreduce_abc_g_aig,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel2.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel2_wreduce_abc_g_aig.aig,1,1,1,191,21,4011,2076,1.932081,0,0,0.283,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel2; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel2_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel2+synth_preset,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel2.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel2_synth_preset.aig,1,1,1,187,22,4114,2076,1.981696,0,0,0.379,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel2; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel3_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel3+abc_g_aig,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel3.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel3_abc_g_aig.aig,1,1,1,192,20,3840,2076,1.849711,0,0,0.268,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel3; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel3_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel3+wreduce_abc_g_aig,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel3.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel3_wreduce_abc_g_aig.aig,1,1,1,192,20,3840,2076,1.849711,0,0,0.292,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel3; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel3_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel3+synth_preset,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel3.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel3_synth_preset.aig,1,1,1,188,19,3572,2076,1.720617,0,0,0.348,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel3; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel4_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel4+abc_g_aig,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_abc_g_aig.aig,1,1,1,193,20,3860,2076,1.859345,0,0,0.283,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel4+wreduce_abc_g_aig,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_wreduce_abc_g_aig.aig,1,1,1,193,20,3860,2076,1.859345,0,0,0.268,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel4_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel4+synth_preset,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_synth_preset.aig,1,1,1,189,20,3780,2076,1.820809,0,0,0.368,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=synth_preset
ex270,ex270_square_wallace_square_outside_hcla4_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_hcla4+abc_g_aig,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_abc_g_aig.aig,1,1,1,188,20,3760,2076,1.811175,0,0,0.234,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_hcla4+wreduce_abc_g_aig,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_carryselect_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_wreduce_abc_g_aig.aig,1,1,1,187,21,3927,2076,1.891618,0,0,0.284,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=wreduce_abc_g_aig
