case,metric,key,value,detail
ex286,onehot_map,input_to_output_slot,6:5:9:5:11:11:9:9:3:2:3:1:8,
ex286,twohot_onehot_pair_conflicts,slot_pair_to_output,31,keys=32;pairs=78;first=inputs=0:3;slot_pair=5:6;old=0xc;new=0x50
ex286,twohot_output_matrix,out0,10,ones=8;rows=800:0:0:1000:20:10:1080:1040:200:900:0:201:c8
ex286,twohot_output_matrix,out1,12,ones=18;rows=0:500:1800:8c0:820:810:1888:1848:e02:100:102:1fc:c4
ex286,twohot_output_matrix,out2,6,ones=11;rows=502:1:200:0:200:200:200:200:1:cf4:a01:600:0
ex286,twohot_output_matrix,out3,8,ones=20;rows=202:801:500:30:1508:1508:500:500:cf4:1:9f4:502:30
ex286,twohot_output_matrix,out4,4,ones=4;rows=8:200:0:201:0:0:0:0:0:40a:200:0:0
ex286,twohot_output_matrix,out5,6,ones=19;rows=0:11f8:8c8:11f6:a:a:80e:80e:a:0:0:c4:a
ex286,twohot_output_matrix,out6,2,ones=7;rows=11f8:0:0:1:1:1:1:1:1:0:0:0:1
ex286,twohot_output_matrix,out7,6,ones=8;rows=200:408:30:402:804:804:0:0:0:1:a:30:0
ex286,twohot_output_matrix,out8,4,ones=14;rows=10c4:1000:201:0:1000:1000:201:201:1000:10c4:1000:1000:f33
ex286,twohot_output_matrix,out9,8,ones=19;rows=0:834:1f2:800:4c6:4c6:134:134:c4:0:30:100a:800
ex286,twohot_output_matrix,out10,4,ones=8;rows=834:0:1:200:201:201:0:0:0:1038:0:1:200
ex286,twohot_output_matrix,out11,6,ones=16;rows=0:c4:402:500:1c0:1c0:432:432:1038:0:10cc:0:500
ex286,twohot_output_matrix,out12,6,ones=4;rows=400:200:1008:4:0:0:0:0:0:2:1:0:4
ex286,twohot_rank_summary,all_output_bits,b0:r10:ones8;b1:r12:ones18;b2:r6:ones11;b3:r8:ones20;b4:r4:ones4;b5:r6:ones19;b6:r2:ones7;b7:r6:ones8;b8:r4:ones14;b9:r8:ones19;b10:r4:ones8;b11:r6:ones16;b12:r6:ones4,low_rank_bits=4:6:8:10
ex286,degree2_from_twohot,out0,4297/8192,linear=0000000000000;quadratic_terms=8;first=x=0xd;expected=1;pred=0
