case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_bdd_lowmix_abc_g_aig,unsigned_floor_isqrt,bdd_lowmix+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_abc_g_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.217,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix; flow=abc_g_aig
ex275,ex275_isqrt_bdd_lowmix_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_lowmix+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_wreduce_abc_g_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.188,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_lowmix_arith_wreduce_aig,unsigned_floor_isqrt,bdd_lowmix+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_arith_wreduce_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.191,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_lowmix_synth_preset,unsigned_floor_isqrt,bdd_lowmix+synth_preset,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_synth_preset.aig,1,1,1,47,9,423,204,2.073529,0,0,0.252,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix; flow=synth_preset
ex275,ex275_isqrt_bdd_lowmix_synth_preset_d6,unsigned_floor_isqrt,bdd_lowmix+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_synth_preset_d6.aig,1,1,1,47,9,423,204,2.073529,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_lowmix_synth_preset_d8,unsigned_floor_isqrt,bdd_lowmix+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_synth_preset_d8.aig,1,1,1,47,9,423,204,2.073529,0,0,0.272,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_lowmix_synth_preset_d10,unsigned_floor_isqrt,bdd_lowmix+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_synth_preset_d10.aig,1,1,1,47,9,423,204,2.073529,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_lowmix2_abc_g_aig,unsigned_floor_isqrt,bdd_lowmix2+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix2.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix2_abc_g_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.200,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix2; flow=abc_g_aig
ex275,ex275_isqrt_bdd_lowmix2_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_lowmix2+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix2.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix2_wreduce_abc_g_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.199,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix2; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_lowmix2_arith_wreduce_aig,unsigned_floor_isqrt,bdd_lowmix2+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix2.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix2_arith_wreduce_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.202,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix2; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_lowmix2_synth_preset,unsigned_floor_isqrt,bdd_lowmix2+synth_preset,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix2.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix2_synth_preset.aig,1,1,1,47,9,423,204,2.073529,0,0,0.262,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix2; flow=synth_preset
