case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop2_cmp1_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_cmp1_trunc_abc_g_aig.aig,1,1,1,765,35,26775,15078,1.775766,0,0,0.851,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_cmp1_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_cmp1_trunc_wreduce_abc_g_aig.aig,1,1,1,766,36,27576,15078,1.828890,0,0,0.868,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset.aig,1,1,1,765,35,26775,15078,1.775766,0,0,1.867,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset_d20.aig,1,1,1,765,35,26775,15078,1.775766,0,0,2.943,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop2_cmp2_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_cmp2_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_cmp2_trunc_abc_g_aig.aig,1,1,1,807,35,28245,15078,1.873259,0,0,2.477,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp2_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_cmp2_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_cmp2_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_cmp2_trunc_wreduce_abc_g_aig.aig,1,1,1,806,33,26598,15078,1.764027,0,0,1.780,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp2_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_cmp2_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_cmp2_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_cmp2_trunc_synth_preset.aig,1,1,1,804,33,26532,15078,1.759650,0,0,1.201,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp2_trunc; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_cmp2_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_cmp2_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_cmp2_trunc_synth_preset_d20.aig,1,1,1,804,33,26532,15078,1.759650,0,0,1.081,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp2_trunc; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop3_cmp1_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_cmp1_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_cmp1_trunc_abc_g_aig.aig,1,1,1,804,35,28140,15078,1.866295,0,0,0.881,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_cmp1_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_cmp1_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_cmp1_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_cmp1_trunc_wreduce_abc_g_aig.aig,1,1,1,805,34,27370,15078,1.815227,0,0,0.924,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_cmp1_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop3_cmp1_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_cmp1_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_cmp1_trunc_synth_preset.aig,1,1,1,798,34,27132,15078,1.799443,0,0,1.094,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_cmp1_trunc; flow=synth_preset
