case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex266,ex266_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,mtbdd_interleave_a_first_msb+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_interleave_a_first_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig.aig,154,12,1848,848,2.179245,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_mtbdd_interleave_msb_synth_preset,unsigned low6_high6:a/b dbz=max,mtbdd_interleave_msb+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/verilog/ex267_udiv_mtbdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_interleave_msb_synth_preset.aig,335,16,5360,2651,2.021879,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=synth_preset
ex269,ex269_udiv_mtbdd_interleave_msb_synth_preset,unsigned low8_high8:a/b dbz=max,mtbdd_interleave_msb+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/verilog/ex269_udiv_mtbdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_interleave_msb_synth_preset.aig,1645,21,34545,11760,2.937500,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=synth_preset
