case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_mtbdd_b_msb_abc_g_aig,1,178,13,2314,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_msb; flow=abc_g_aig
ex266,ex266_udiv_mtbdd_b_msb_wreduce_abc_g_aig,1,198,12,2376,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_msb_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_mtbdd_b_msb_synth_preset,1,162,13,2106,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_msb; flow=synth_preset
ex266,ex266_udiv_mtbdd_interleave_msb_abc_g_aig,1,154,14,2156,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=abc_g_aig
ex266,ex266_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig,1,156,14,2184,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_mtbdd_interleave_msb_synth_preset,1,151,13,1963,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=synth_preset
ex266,ex266_udiv_mtbdd_interleave_a_first_msb_abc_g_aig,1,167,12,2004,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_a_first_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=abc_g_aig
ex266,ex266_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig,1,154,12,1848,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_mtbdd_interleave_a_first_msb_synth_preset,1,163,13,2119,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_a_first_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=synth_preset
ex266,ex266_udiv_mtbdd_b_lsb_a_msb_abc_g_aig,1,212,13,2756,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_lsb_a_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=abc_g_aig
ex266,ex266_udiv_mtbdd_b_lsb_a_msb_wreduce_abc_g_aig,1,227,12,2724,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_lsb_a_msb_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_mtbdd_b_lsb_a_msb_synth_preset,1,206,12,2472,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_lsb_a_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=synth_preset
ex267,ex267_udiv_mtbdd_b_msb_abc_g_aig,1,482,16,7712,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_b_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_b_msb; flow=abc_g_aig
ex267,ex267_udiv_mtbdd_b_msb_wreduce_abc_g_aig,1,495,16,7920,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_b_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_b_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_mtbdd_b_msb_synth_preset,1,385,16,6160,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_b_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_b_msb; flow=synth_preset
ex267,ex267_udiv_mtbdd_interleave_msb_abc_g_aig,1,343,16,5488,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_interleave_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig,1,342,16,5472,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_mtbdd_interleave_msb_synth_preset,1,335,16,5360,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_interleave_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=synth_preset
ex267,ex267_udiv_mtbdd_interleave_a_first_msb_abc_g_aig,1,381,16,6096,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_interleave_a_first_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=abc_g_aig
ex267,ex267_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig,1,384,16,6144,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_mtbdd_interleave_a_first_msb_synth_preset,1,368,15,5520,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_interleave_a_first_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=synth_preset
