case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_mod_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.aig,1,1,1,242,29,7018,1.140,transform=prefix_parity_reduce; coord_mode=full_mod; emit_style=grouped; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; grouped_ands=48; linear_xors=12; term_counts=1:3:5:7:9:11:13:19:23:24:27:26; hash=d75759749dad,unknown mux-coordinate ANF Verilog seed
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,1,1,1,221,28,6188,1.130,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; grouped_ands=47; linear_xors=10; term_counts=1:3:5:7:9:11:13:19:20:24:22:22; hash=e8cea26df2f5,unknown mux-coordinate ANF Verilog seed
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.aig,1,1,1,246,29,7134,1.142,transform=prefix_parity_reduce; coord_mode=full_wrap_low_zero_high; emit_style=grouped; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; grouped_ands=49; linear_xors=12; term_counts=1:3:5:7:9:11:13:19:22:24:26:26; hash=55dcb730e2f3,unknown mux-coordinate ANF Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_mod_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.aig,1,1,1,318,41,13038,25.515,transform=prefix_parity_reduce; coord_mode=full_mod; emit_style=grouped; degree=2; coord_width=21; features=232; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; inconsistent=0x0; grouped_ands=64; linear_xors=12; term_counts=1:3:5:7:9:11:13:15:17:19:21:27:31:32:35:34; hash=e305c052c244,unknown mux-coordinate ANF Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,1,1,1,289,37,10693,25.860,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=21; features=232; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; inconsistent=0x0; grouped_ands=63; linear_xors=10; term_counts=1:3:5:7:9:11:13:15:17:19:21:27:28:32:30:30; hash=72cd4c9e4e53,unknown mux-coordinate ANF Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_smoke_20260609_0117/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.aig,1,1,1,370,39,14430,25.471,transform=prefix_parity_reduce; coord_mode=full_wrap_low_zero_high; emit_style=grouped; degree=2; coord_width=21; features=232; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; inconsistent=0x0; grouped_ands=65; linear_xors=12; term_counts=1:3:5:7:9:11:13:15:17:19:21:27:30:32:34:34; hash=d417b4cd0cda,unknown mux-coordinate ANF Verilog seed
