case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_csa_androws_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.234,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_cla_wreduce_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.227,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d13,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d13.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.304,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d18,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d18.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.301,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_rev_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_rev_cla+abc_g_aig,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_rev_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_rev_cla_abc_g_aig.aig,1,1,1,183,18,3294,1911,1.723705,0,0,0.251,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_rev_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_rev_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_rev_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_rev_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_rev_cla_wreduce_abc_g_aig.aig,1,1,1,182,18,3276,1911,1.714286,0,0,0.242,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_rev_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_rev_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_rev_cla+synth_preset_d13,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_rev_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_rev_cla_synth_preset_d13.aig,1,1,1,183,18,3294,1911,1.723705,0,0,0.289,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_rev_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_rev_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_rev_cla+synth_preset_d18,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_rev_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_rev_cla_synth_preset_d18.aig,1,1,1,183,18,3294,1911,1.723705,0,0,0.287,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_rev_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_evenodd_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_evenodd_cla+abc_g_aig,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_evenodd_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_evenodd_cla_abc_g_aig.aig,1,1,1,177,19,3363,1911,1.759812,0,0,0.230,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_evenodd_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_evenodd_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_evenodd_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_evenodd_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_evenodd_cla_wreduce_abc_g_aig.aig,1,1,1,179,19,3401,1911,1.779696,0,0,0.237,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_evenodd_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_evenodd_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_evenodd_cla+synth_preset_d13,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_evenodd_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_evenodd_cla_synth_preset_d13.aig,1,1,1,176,20,3520,1911,1.841968,0,0,0.342,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_evenodd_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_evenodd_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_evenodd_cla+synth_preset_d18,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_evenodd_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_evenodd_cla_synth_preset_d18.aig,1,1,1,176,20,3520,1911,1.841968,0,0,0.323,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_evenodd_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_outside_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_outside_cla+abc_g_aig,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/verilog/ex256_umul_csa_androws_outside_cla.v,student/work/ex256_frontend_umul_deeper_merge_20260609_0148/ex256/aigs/ex256_umul_csa_androws_outside_cla_abc_g_aig.aig,1,1,1,168,19,3192,1911,1.670330,0,0,0.230,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_outside_cla; flow=abc_g_aig
