case,output_bit,primitive_count,exact_kind,exact_expr,best_expr,best_matches,total_rows,best_match_ratio,notes
ex286,0,626,,,(sum_c3_6>=2)&(c5_s8+raw10>=1),5257,8192,0.641724,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,1,626,,,(sum_c1_5>=4)|(sum_c2_4>=3),5256,8192,0.641602,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,2,626,,,(sum_c1_5>=3)&(sum_c2_4>=2),5256,8192,0.641602,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,3,626,,,(sum_c0_3>=2)&(sum_c2_5>=2),5166,8192,0.630615,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,4,626,,,(c5_s8>=1)&(sum_c0_8>=6),5397,8192,0.658813,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,5,626,,,(sum_c3_8>=5)&(sum_c1_8>=6),5222,8192,0.637451,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,6,626,,,(sum_c1_8>=6)&(c0_s1+raw3>=1),5224,8192,0.637695,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,7,626,,,!(sum_c3_8<=4),5216,8192,0.636719,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,8,626,,,(c5_s8>=1)|(sum_c0_8>=8),5359,8192,0.654175,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,9,626,,,(sum_c1_5>=4)|(sum_c2_4>=3),5256,8192,0.641602,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,10,626,,,(sum_c1_5>=3)&(sum_c2_4>=2),5256,8192,0.641602,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,11,626,,,(sum_c0_3>=2)&(sum_c2_8>=5),5174,8192,0.631592,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,12,626,,,(c5_s8>=1)|(sum_c2_6>=4),5187,8192,0.633179,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex287,0,666,,,(sum_c0_7>=8)|(sum_c1_4==2),10017,16384,0.611389,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,1,666,,,(sum_c0_6>=8)|(sum_c1_4>=4),10077,16384,0.615051,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,2,666,,,(sum_c0_4>=4)|(c1_s4>=1),10228,16384,0.624268,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,3,666,,,(sum_c0_7>=8)|(c0_s3+xor8_9>=3),10230,16384,0.624390,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,4,666,,,(sum_c1_4==2)&(c2_s5==1),10737,16384,0.655334,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,5,666,,,(c2_s5+raw13>=2)|(sum_c1_4>=3),10477,16384,0.639465,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,6,666,,,(c2_s5==1)&(sum_c1_4==2),11040,16384,0.673828,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,7,666,,,(sum_c2_7>=5)&(sum_c3_7>=4),10520,16384,0.642090,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,8,666,,,(c2_s5+raw13>=2)&(sum_c1_4>=2),10423,16384,0.636169,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,9,666,,,!((c2_s5==1)&(sum_c1_4==2)),10751,16384,0.656189,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,10,666,,,(sum_c0_4>=4)|(c1_s4>=1),10228,16384,0.624268,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,11,666,,,(sum_c0_7>=7)&(sum_c0_2>=2),10194,16384,0.622192,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
