case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_bdd_comp_interleave_msb_abc_g_aig,1,149,13,1937,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_interleave_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_comp_interleave_msb_wreduce_abc_g_aig,1,149,13,1937,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_interleave_msb_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_comp_interleave_msb_synth_preset,1,148,13,1924,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_interleave_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=synth_preset
ex266,ex266_udiv_bdd_comp_interleave_msb_synth_preset_d8,1,148,13,1924,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_interleave_msb_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=synth_preset_d8
ex266,ex266_udiv_bdd_comp_interleave_msb_synth_preset_d10,1,148,13,1924,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_interleave_msb_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=synth_preset_d10
ex266,ex266_udiv_bdd_comp_interleave_msb_synth_preset_d12,1,148,13,1924,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_interleave_msb_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_interleave_msb; flow=synth_preset_d12
ex266,ex266_udiv_bdd_comp_search_best_abc_g_aig,1,147,13,1911,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_search_best_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_search_best; flow=abc_g_aig
ex266,ex266_udiv_bdd_comp_search_best_wreduce_abc_g_aig,1,147,13,1911,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_search_best_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_search_best; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_comp_search_best_synth_preset,1,147,14,2058,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_search_best_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_search_best; flow=synth_preset
ex266,ex266_udiv_bdd_comp_search_best_synth_preset_d8,1,147,14,2058,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_search_best_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_search_best; flow=synth_preset_d8
ex266,ex266_udiv_bdd_comp_search_best_synth_preset_d10,1,147,14,2058,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_search_best_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_search_best; flow=synth_preset_d10
ex266,ex266_udiv_bdd_comp_search_best_synth_preset_d12,1,147,14,2058,student/work/ex266_frontend_udiv_comp_bdd_20260609_0918/ex266/aigs/ex266_udiv_bdd_comp_search_best_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_search_best; flow=synth_preset_d12
