case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_split4_depth,751,27,20277,2415,8.396273,17220,3057,0,prefix_parity_reduce_deg1_split4_depth,transform=prefix_parity_reduce; threshold=1; group_mode=split4; order_metric=depth; groups=3; direct_terms=3; residual_terms=929; direct_unique=3; davio_nodes=639; max_est_depth=14; orders=0:endpoint:bits=0.1.2.3:nodes=63:depth=11:emit=122|1:endpoint:bits=4.5.6.7:nodes=114:depth=13:emit=278|2:center:bits=8.9.10.11:nodes=84:depth=14:emit=239; hash=92d184d306be,unknown grouped ANF/Davio Verilog seed
ex281,ex281_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth,932,30,27960,2336,11.969178,20592,7368,0,prefix_parity_reduce_deg0_high4_depth,transform=prefix_parity_reduce; threshold=0; group_mode=high4; order_metric=depth; groups=2; direct_terms=0; residual_terms=1160; direct_unique=0; davio_nodes=744; max_est_depth=15; orders=0:endpoint:bits=0.1.2.3.4.5.6.7.8:nodes=193:depth=14:emit=473|1:rot8:bits=9.10.11.12:nodes=126:depth=15:emit=271; hash=b91ec67ad052,unknown grouped ANF/Davio Verilog seed
ex282,ex282_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth,920,33,30360,2704,11.227811,26635,3725,0,prefix_parity_reduce_deg0_high4_depth,transform=prefix_parity_reduce; threshold=0; group_mode=high4; order_metric=depth; groups=2; direct_terms=0; residual_terms=1400; direct_unique=0; davio_nodes=831; max_est_depth=16; orders=0:endpoint:bits=0.1.2.3.4.5.6.7.8.9:nodes=217:depth=15:emit=560|1:center:bits=10.11.12.13:nodes=92:depth=16:emit=271; hash=57a665b2522d,unknown grouped ANF/Davio Verilog seed
ex283,ex283_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth,1101,37,40737,3168,12.858902,29785,10952,0,prefix_parity_reduce_deg0_high4_depth,transform=prefix_parity_reduce; threshold=0; group_mode=high4; order_metric=depth; groups=2; direct_terms=0; residual_terms=1676; direct_unique=0; davio_nodes=953; max_est_depth=17; orders=0:endpoint:bits=0.1.2.3.4.5.6.7.8.9.10:nodes=260:depth=16:emit=656|1:rot9:bits=11.12.13.14:nodes=138:depth=17:emit=297; hash=7f523964d242,unknown grouped ANF/Davio Verilog seed
ex284,ex284_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth,1099,42,46158,4240,10.886321,37791,8367,0,prefix_parity_reduce_deg0_high4_depth,transform=prefix_parity_reduce; threshold=0; group_mode=high4; order_metric=depth; groups=2; direct_terms=0; residual_terms=1964; direct_unique=0; davio_nodes=995; max_est_depth=18; orders=0:endpoint:bits=0.1.2.3.4.5.6.7.8.9.10.11:nodes=279:depth=17:emit=751|1:endpoint:bits=12.13.14.15:nodes=97:depth=18:emit=244; hash=d0af11e6e905,unknown grouped ANF/Davio Verilog seed
