case,variant,notes
ex235,open_low8_hi4,"special_const=33; special_full=1; special_items=1057; low_width=8; nested_hi=4; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15; b9:runs=60,max=3,const=15; b8:runs=90,max=4,const=0"
ex235,open_low8_hi6,"special_const=33; special_full=1; special_items=1057; low_width=8; nested_hi=6; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15; b9:runs=60,max=3,const=15; b8:runs=90,max=4,const=0"
ex235,open_low8_hi7,"special_const=33; special_full=1; special_items=1057; low_width=8; nested_hi=7; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15; b9:runs=60,max=3,const=15; b8:runs=90,max=4,const=0"
ex235,open_low9_hi4,"special_const=33; special_full=1; special_items=1057; low_width=9; nested_hi=4; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15; b9:runs=60,max=3,const=15"
ex235,open_low9_hi6,"special_const=33; special_full=1; special_items=1057; low_width=9; nested_hi=6; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15; b9:runs=60,max=3,const=15"
ex235,open_low9_hi7,"special_const=33; special_full=1; special_items=1057; low_width=9; nested_hi=7; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15; b9:runs=60,max=3,const=15"
ex235,open_low10_hi4,"special_const=33; special_full=1; special_items=1057; low_width=10; nested_hi=4; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15"
ex235,open_low10_hi7,"special_const=33; special_full=1; special_items=1057; low_width=10; nested_hi=7; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15"
ex237,open_low8_hi4,"special_const=2; special_full=2; special_items=2050; low_width=8; nested_hi=4; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10; b8:runs=70,max=3,const=0"
ex237,open_low8_hi6,"special_const=2; special_full=2; special_items=2050; low_width=8; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10; b8:runs=70,max=3,const=0"
ex237,open_low8_hi7,"special_const=2; special_full=2; special_items=2050; low_width=8; nested_hi=7; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10; b8:runs=70,max=3,const=0"
ex237,open_low9_hi4,"special_const=2; special_full=2; special_items=2050; low_width=9; nested_hi=4; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10"
ex237,open_low9_hi6,"special_const=2; special_full=2; special_items=2050; low_width=9; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10"
ex237,open_low9_hi7,"special_const=2; special_full=2; special_items=2050; low_width=9; nested_hi=7; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10"
ex237,open_low10_hi4,"special_const=2; special_full=2; special_items=2050; low_width=10; nested_hi=4; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20"
ex237,open_low10_hi7,"special_const=2; special_full=2; special_items=2050; low_width=10; nested_hi=7; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20"
ex239,open_low8_hi4,"special_const=2; special_full=2; special_items=2050; low_width=8; nested_hi=4; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10; b8:runs=70,max=3,const=0"
ex239,open_low8_hi6,"special_const=2; special_full=2; special_items=2050; low_width=8; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10; b8:runs=70,max=3,const=0"
ex239,open_low8_hi7,"special_const=2; special_full=2; special_items=2050; low_width=8; nested_hi=7; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10; b8:runs=70,max=3,const=0"
ex239,open_low9_hi4,"special_const=2; special_full=2; special_items=2050; low_width=9; nested_hi=4; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10"
ex239,open_low9_hi6,"special_const=2; special_full=2; special_items=2050; low_width=9; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10"
ex239,open_low9_hi7,"special_const=2; special_full=2; special_items=2050; low_width=9; nested_hi=7; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10"
ex239,open_low10_hi4,"special_const=2; special_full=2; special_items=2050; low_width=10; nested_hi=4; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20"
ex239,open_low10_hi7,"special_const=2; special_full=2; special_items=2050; low_width=10; nested_hi=7; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20"
