case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex286,ex286_unknown_symcof_reverse_f00_k5,unknown_symmetry_cofactor_classonehot,reverse_f00_k5,student/work/ex286_ex288_ex289_frontend_symmetry_cofactor_order_smoke2_20260609_0549/ex286/verilog/ex286_unknown_symcof_reverse_f00_k5.v,student/work/ex286_ex288_ex289_frontend_symmetry_cofactor_order_smoke2_20260609_0549/ex286/aigs/ex286_unknown_symcof_reverse_f00_k5.aig,5281,18,95058,pairs=4:5; order=reverse; policy=f00; outer_bits=12:11:10:9:8; inner_bits=0:1:2:3:4:5:6:7; classes=32; group_nodes=302:317:264:273:302:316:288:286:298:309:245:245:292:292:277:270:309:314:250:250:290:290:276:269:318:316:277:265:313:301:287:274; total_group_nodes=9175; hash=0a9feed087dd,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_reverse_f00_k5,unknown_symmetry_cofactor_classonehot,reverse_f00_k5,student/work/ex286_ex288_ex289_frontend_symmetry_cofactor_order_smoke2_20260609_0549/ex288/verilog/ex288_unknown_symcof_reverse_f00_k5.v,student/work/ex286_ex288_ex289_frontend_symmetry_cofactor_order_smoke2_20260609_0549/ex288/aigs/ex288_unknown_symcof_reverse_f00_k5.aig,13113,21,275373,pairs=4:5; order=reverse; policy=f00; outer_bits=14:13:12:11:10; inner_bits=0:1:2:3:4:5:6:7:8:9; classes=32; group_nodes=926:915:907:920:942:955:901:922:910:884:851:849:877:875:848:877:883:850:844:839:904:899:861:878:941:932:913:899:940:925:899:903; total_group_nodes=28669; hash=d97be63794b5,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_reverse_f00_k6,unknown_symmetry_cofactor_classonehot,reverse_f00_k6,student/work/ex286_ex288_ex289_frontend_symmetry_cofactor_order_smoke2_20260609_0549/ex289/verilog/ex289_unknown_symcof_reverse_f00_k6.v,student/work/ex286_ex288_ex289_frontend_symmetry_cofactor_order_smoke2_20260609_0549/ex289/aigs/ex289_unknown_symcof_reverse_f00_k6.aig,17936,22,394592,pairs=4:5; order=reverse; policy=f00; outer_bits=15:14:13:12:11:10; inner_bits=0:1:2:3:4:5:6:7:8:9; classes=48; group_nodes=1036:1008:1008:1013:1037:992:992:1040:1037:992:992:1040:1013:1011:1011:1033:1001:939:939:949:986:905:905:979:986:905:905:979:949:939:939:994:1032:997:997:999:1041:980:980:1019:1041:980:980:1019:999:996:996:1018; total_group_nodes=47528; hash=1e3d92b79b90,unknown symmetry cofactor class-onehot Verilog seed
