case,candidate_id,equivalent,area,delay,adp,notes
ex286,ex286_unknown_symcof_reverse_f10_k4,1,5334,19,101346,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_reverse_f10_k5,1,5334,18,96012,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_reverse_f10_k6,1,6242,19,118598,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_reverse_f00_k4,1,5140,19,97660,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_reverse_f00_k5,1,5281,18,95058,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_reverse_f00_k6,1,6172,19,117268,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_natural_f10_k4,1,6818,19,129542,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_natural_f10_k5,1,7227,20,144540,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_natural_f10_k6,1,6876,18,123768,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_natural_f00_k4,1,6857,19,130283,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_natural_f00_k5,1,6888,19,130872,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_natural_f00_k6,1,6869,18,123642,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_sym_first_f10_k4,1,6895,19,131005,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_sym_first_f10_k5,1,6957,19,132183,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_sym_first_f10_k6,1,6928,18,124704,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_sym_first_f00_k4,1,6895,19,131005,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_sym_first_f00_k5,1,6957,19,132183,unknown symmetry cofactor class-onehot Verilog seed
