case,candidate_id,verilog_path,aig_path,evaluate_status,area,delay,adp,notes
ex286,ex286_unknown_bucket_key_bdd_bucket_key_bdd_selectors_first_abc_g_aig,student/work/ex286_ex288_frontend_bucket_key_bdd_20260609_1244/ex286/verilog/ex286_unknown_bucket_key_bdd_selectors_first.v,student/work/ex286_ex288_frontend_bucket_key_bdd_synthflow_20260609_1244/ex286/aigs/ex286_unknown_bucket_key_bdd_bucket_key_bdd_selectors_first_abc_g_aig.aig,OK,4244,23,97612,Yosys abc gate set aig
ex287,ex287_unknown_bucket_key_bdd_bucket_key_bdd_selectors_first_abc_g_aig,student/work/ex286_ex288_frontend_bucket_key_bdd_20260609_1244/ex287/verilog/ex287_unknown_bucket_key_bdd_selectors_first.v,student/work/ex286_ex288_frontend_bucket_key_bdd_synthflow_20260609_1244/ex287/aigs/ex287_unknown_bucket_key_bdd_bucket_key_bdd_selectors_first_abc_g_aig.aig,OK,7852,27,212004,Yosys abc gate set aig
ex288,ex288_unknown_bucket_key_bdd_bucket_key_bdd_selectors_first_abc_g_aig,student/work/ex286_ex288_frontend_bucket_key_bdd_20260609_1244/ex288/verilog/ex288_unknown_bucket_key_bdd_selectors_first.v,student/work/ex286_ex288_frontend_bucket_key_bdd_synthflow_20260609_1244/ex288/aigs/ex288_unknown_bucket_key_bdd_bucket_key_bdd_selectors_first_abc_g_aig.aig,OK,12839,25,320975,Yosys abc gate set aig
