case,order_name,order_bits,input_width,output_width,bucket_count,selected_features,key_width,mapped_keys,bdd_nodes,reachable_exact,verilog_path,module
ex286,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,13,13,8,raw3:raw10:xor6_7,15,4608,4173,1,,
ex286,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,13,13,8,raw3:raw10:xor6_7,15,4608,3911,1,,
ex286,selectors_first,2:1:0:14:13:11:12:9:10:8:7:5:6:3:4,13,13,8,raw3:raw10:xor6_7,15,4608,3616,1,student/work/ex286_ex288_frontend_bucket_key_bdd_20260609_1244/ex286/verilog/ex286_unknown_bucket_key_bdd_selectors_first.v,ex286_unknown_bucket_key_bdd_selectors_first
ex286,selectors_last,14:13:11:12:9:10:8:7:5:6:3:4:2:1:0,13,13,8,raw3:raw10:xor6_7,15,4608,3999,1,,
ex286,fields_lsb,14:13:11:12:9:10:8:7:5:6:3:4:2:1:0,13,13,8,raw3:raw10:xor6_7,15,4608,3999,1,,
ex286,fields_msb,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,13,13,8,raw3:raw10:xor6_7,15,4608,3911,1,,
ex287,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,14,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,9657,1,,
ex287,reverse,15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,14,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,11814,1,,
ex287,selectors_first,3:2:1:0:14:15:13:11:12:10:7:8:9:5:6:4,14,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,6322,1,student/work/ex286_ex288_frontend_bucket_key_bdd_20260609_1244/ex287/verilog/ex287_unknown_bucket_key_bdd_selectors_first.v,ex287_unknown_bucket_key_bdd_selectors_first
ex287,selectors_last,14:15:13:11:12:10:7:8:9:5:6:4:3:2:1:0,14,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,12992,1,,
ex287,fields_lsb,14:15:13:11:12:10:7:8:9:5:6:4:3:2:1:0,14,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,12992,1,,
ex287,fields_msb,15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,14,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,11814,1,,
ex288,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,15,9,raw13:raw10:xor6_7,16,13824,9714,1,,
ex288,reverse,15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,15,15,9,raw13:raw10:xor6_7,16,13824,17993,1,,
ex288,selectors_first,2:1:0:15:13:14:12:10:11:9:7:8:5:6:4:3,15,15,9,raw13:raw10:xor6_7,16,13824,9273,1,student/work/ex286_ex288_frontend_bucket_key_bdd_20260609_1244/ex288/verilog/ex288_unknown_bucket_key_bdd_selectors_first.v,ex288_unknown_bucket_key_bdd_selectors_first
ex288,selectors_last,15:13:14:12:10:11:9:7:8:5:6:4:3:2:1:0,15,15,9,raw13:raw10:xor6_7,16,13824,18182,1,,
ex288,fields_lsb,15:13:14:12:10:11:9:7:8:5:6:4:3:2:1:0,15,15,9,raw13:raw10:xor6_7,16,13824,18182,1,,
ex288,fields_msb,15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,15,15,9,raw13:raw10:xor6_7,16,13824,17993,1,,
