case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_direct_signed_abc_g_aig,1,116,20,2320,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig
ex260,ex260_smul_direct_signed_wreduce_abc_g_aig,1,116,20,2320,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_direct_signed_synth_preset_d11,1,114,20,2280,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d11
ex260,ex260_smul_direct_signed_synth_preset_d13,1,114,20,2280,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d13
ex260,ex260_smul_wide_signed_abc_g_aig,1,151,18,2718,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_wide_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=abc_g_aig
ex260,ex260_smul_wide_signed_wreduce_abc_g_aig,1,116,20,2320,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_wide_signed_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_wide_signed_synth_preset_d11,1,114,20,2280,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_wide_signed_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=synth_preset_d11
ex260,ex260_smul_wide_signed_synth_preset_d13,1,114,20,2280,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_wide_signed_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,1,88,16,1408,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,88,16,1408,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
