case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_direct_signed_abc_g_aig,signed low4_high4:a*b,direct_signed+abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_abc_g_aig.aig,1,1,1,116,20,2320,657,3.531202,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig
ex260,ex260_smul_direct_signed_wreduce_abc_g_aig,signed low4_high4:a*b,direct_signed+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_wreduce_abc_g_aig.aig,1,1,1,116,20,2320,657,3.531202,0,0,0.203,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_direct_signed_synth_preset_d11,signed low4_high4:a*b,direct_signed+synth_preset_d11,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_synth_preset_d11.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.260,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d11
ex260,ex260_smul_direct_signed_synth_preset_d13,signed low4_high4:a*b,direct_signed+synth_preset_d13,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_synth_preset_d13.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.258,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d13
ex260,ex260_smul_wide_signed_abc_g_aig,signed low4_high4:a*b,wide_signed+abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_wide_signed_abc_g_aig.aig,1,1,1,151,18,2718,657,4.136986,0,0,0.259,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=abc_g_aig
ex260,ex260_smul_wide_signed_wreduce_abc_g_aig,signed low4_high4:a*b,wide_signed+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_wide_signed_wreduce_abc_g_aig.aig,1,1,1,116,20,2320,657,3.531202,0,0,0.203,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_wide_signed_synth_preset_d11,signed low4_high4:a*b,wide_signed+synth_preset_d11,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_wide_signed_synth_preset_d11.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=synth_preset_d11
ex260,ex260_smul_wide_signed_synth_preset_d13,signed low4_high4:a*b,wide_signed+synth_preset_d13,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_wide_signed_synth_preset_d13.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.262,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.225,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.267,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
