case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_direct_square_booth_abc_g_aig,unsigned_square_x_times_x,direct_square+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_direct_square.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_direct_square_booth_abc_g_aig.aig,1,1,1,1355,63,85365,15078,5.661560,0,0,0.878,semantic_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=direct_square; flow=booth_abc_g_aig
ex273,ex273_square_direct_square_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,direct_square+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_direct_square.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_direct_square_booth_wreduce_abc_g_aig.aig,1,1,1,1355,63,85365,15078,5.661560,0,0,0.827,semantic_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=direct_square; flow=booth_wreduce_abc_g_aig
ex273,ex273_square_direct_square_wide_booth_abc_g_aig,unsigned_square_x_times_x,direct_square_wide+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_direct_square_wide.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_direct_square_wide_booth_abc_g_aig.aig,1,1,1,1577,61,96197,15078,6.379958,0,0,0.975,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=direct_square_wide; flow=booth_abc_g_aig
ex273,ex273_square_direct_square_wide_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,direct_square_wide+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_direct_square_wide.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_direct_square_wide_booth_wreduce_abc_g_aig.aig,1,1,1,1355,63,85365,15078,5.661560,0,0,0.823,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=direct_square_wide; flow=booth_wreduce_abc_g_aig
ex273,ex273_square_low_high_split_booth_abc_g_aig,unsigned_square_x_times_x,low_high_split+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_low_high_split.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_low_high_split_booth_abc_g_aig.aig,1,1,1,1091,56,61096,15078,4.051996,0,0,0.831,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low_high_split; flow=booth_abc_g_aig
ex273,ex273_square_low_high_split_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,low_high_split+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_low_high_split.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_low_high_split_booth_wreduce_abc_g_aig.aig,1,1,1,1093,58,63394,15078,4.204404,0,0,0.827,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low_high_split; flow=booth_wreduce_abc_g_aig
ex273,ex273_square_low_high_split_hcla_booth_abc_g_aig,unsigned_square_x_times_x,low_high_split_hcla+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_low_high_split_hcla.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_low_high_split_hcla_booth_abc_g_aig.aig,1,1,1,1147,46,52762,15078,3.499270,0,0,0.930,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low_high_split_hcla; flow=booth_abc_g_aig
ex273,ex273_square_low_high_split_hcla_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,low_high_split_hcla+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_low_high_split_hcla.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_low_high_split_hcla_booth_wreduce_abc_g_aig.aig,1,1,1,1155,46,53130,15078,3.523677,0,0,0.930,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low_high_split_hcla; flow=booth_wreduce_abc_g_aig
ex273,ex273_square_karatsuba_square_booth_abc_g_aig,unsigned_square_x_times_x,karatsuba_square+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_karatsuba_square.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_karatsuba_square_booth_abc_g_aig.aig,1,1,1,1340,66,88440,15078,5.865499,0,0,1.187,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=karatsuba_square; flow=booth_abc_g_aig
ex273,ex273_square_karatsuba_square_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,karatsuba_square+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_karatsuba_square.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_karatsuba_square_booth_wreduce_abc_g_aig.aig,1,1,1,1343,66,88638,15078,5.878631,0,0,1.174,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=karatsuba_square; flow=booth_wreduce_abc_g_aig
ex273,ex273_square_block4_decomp_csel6_booth_abc_g_aig,unsigned_square_x_times_x,block4_decomp_csel6+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_block4_decomp_csel6.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_block4_decomp_csel6_booth_abc_g_aig.aig,1,1,1,1012,54,54648,15078,3.624353,0,0,0.957,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=block4_decomp_csel6; flow=booth_abc_g_aig
ex273,ex273_square_block4_decomp_csel6_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,block4_decomp_csel6+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_block4_decomp_csel6.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_block4_decomp_csel6_booth_wreduce_abc_g_aig.aig,1,1,1,1009,54,54486,15078,3.613609,0,0,0.939,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=block4_decomp_csel6; flow=booth_wreduce_abc_g_aig
ex274,ex274_square_direct_square_booth_abc_g_aig,unsigned_square_x_times_x,direct_square+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_direct_square.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_direct_square_booth_abc_g_aig.aig,1,1,1,1811,72,130392,21630,6.028294,0,0,3.608,semantic_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=direct_square; flow=booth_abc_g_aig
ex274,ex274_square_direct_square_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,direct_square+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_direct_square.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_direct_square_booth_wreduce_abc_g_aig.aig,1,1,1,1811,72,130392,21630,6.028294,0,0,3.661,semantic_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=direct_square; flow=booth_wreduce_abc_g_aig
