case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,notes
ex286,ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d14,unknown_symmetry_cofactor_classonehot,abc_g_aig_d14,student/work/ex286_frontend_multipair_symcof_20260609_0623/ex286/verilog/ex286_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex286/aigs/ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d14.aig,1,1,1807,13,23491,Yosys abc gate set aig delay target 14
ex286,ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d15,unknown_symmetry_cofactor_classonehot,abc_g_aig_d15,student/work/ex286_frontend_multipair_symcof_20260609_0623/ex286/verilog/ex286_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex286/aigs/ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d15.aig,1,1,1807,13,23491,Yosys abc gate set aig delay target 15
ex286,ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d16,unknown_symmetry_cofactor_classonehot,abc_g_aig_d16,student/work/ex286_frontend_multipair_symcof_20260609_0623/ex286/verilog/ex286_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex286/aigs/ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d16.aig,1,1,1807,13,23491,Yosys abc gate set aig delay target 16
ex286,ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d17,unknown_symmetry_cofactor_classonehot,abc_g_aig_d17,student/work/ex286_frontend_multipair_symcof_20260609_0623/ex286/verilog/ex286_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex286/aigs/ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d17.aig,1,1,1807,13,23491,Yosys abc gate set aig delay target 17
ex287,ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig_d14,unknown_symmetry_cofactor_classonehot,abc_g_aig_d14,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex287/aigs/ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig_d14.aig,1,1,2077,14,29078,Yosys abc gate set aig delay target 14
ex287,ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig_d15,unknown_symmetry_cofactor_classonehot,abc_g_aig_d15,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex287/aigs/ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig_d15.aig,1,1,2077,14,29078,Yosys abc gate set aig delay target 15
ex287,ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig_d16,unknown_symmetry_cofactor_classonehot,abc_g_aig_d16,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex287/aigs/ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig_d16.aig,1,1,2077,14,29078,Yosys abc gate set aig delay target 16
ex287,ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig_d17,unknown_symmetry_cofactor_classonehot,abc_g_aig_d17,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex287/aigs/ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig_d17.aig,1,1,2077,14,29078,Yosys abc gate set aig delay target 17
ex288,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d14,unknown_symmetry_cofactor_classonehot,abc_g_aig_d14,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex288/aigs/ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d14.aig,1,1,2281,14,31934,Yosys abc gate set aig delay target 14
ex288,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d15,unknown_symmetry_cofactor_classonehot,abc_g_aig_d15,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex288/aigs/ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d15.aig,1,1,2281,14,31934,Yosys abc gate set aig delay target 15
ex288,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d16,unknown_symmetry_cofactor_classonehot,abc_g_aig_d16,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex288/aigs/ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d16.aig,1,1,2281,14,31934,Yosys abc gate set aig delay target 16
ex288,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d17,unknown_symmetry_cofactor_classonehot,abc_g_aig_d17,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_dtargets_20260609_1142/ex288/aigs/ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig_d17.aig,1,1,2281,14,31934,Yosys abc gate set aig delay target 17
