case,candidate_id,hypothesis,variant,method_signature,verilog_path,aig_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,runtime_sec,evaluate_log,notes,agent_id,domain,high_level_description,representation,sharing_strategy,synth_flow,yosys_log,current_frontend_adp,beats_current_frontend,beats_reference,status,evidence_path,failure_reason,log_path,method_notes
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|rot5_low11_default_xor_correction_dag|rotated_state_default_word_plus_sparse_correction|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_two_level_decision_graph,,,,,,,,,,,,"official evaluate.py OK, but ADP 61272 does not beat current frontend target 20190; rotate=5; low_key_bits=11; outer_bits=2; default_rows=2048; correction_rows=4096",ex286-struct-r1,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r1/ex286/logs/ex286_r1_rot5_low11_default_xor_correction_abc_g_aig.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|rot5_state_shared_decision_graph|rotated_low11_then_outer_single_node_pool|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_shared_roots,,,,,,,,,,,,"official evaluate.py OK, but ADP 34320 does not beat current frontend target 20190; order_name=rot5_low11_then_outer; order=8:9:10:11:12:0:1:2:3:4:5:6:7; bdd_nodes=957",ex286-struct-r1,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r1/ex286/logs/ex286_r1_rot5_state_shared_bdd_abc_g_aig.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|onehot_route_superposition_correction|onehot_token_image_or_plus_exact_xor_correction|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_route_base_correction,,,,,,,,,,,,"official evaluate.py OK, but ADP 158004 does not beat current frontend target 20190; onehot_route_masks=0x0040:0x0020:0x0200:0x0020:0x0800:0x0800:0x0200:0x0200:0x0008:0x0004:0x0008:0x0002:0x0100; base_matches=62; correction_rows=8130",ex286-struct-r1,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r1/ex286/logs/ex286_r1_onehot_route_superposition_correction_abc_g_aig.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|current_symcof_frontend_recut|same_source_delay_target_frontend_synth|yosys_abc_g_aig_d13|abc_xf_official_evaluate|full_word_class_mux,,,,,,,,,,,,"official evaluate.py OK, but ADP 20190 does not beat current frontend target 20190; control recut of current frontend source; included to measure whether delay-targeted frontend synthesis alone beats 20190",ex286-struct-r2,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r2/ex286/logs/ex286_r2_current_symcof_frontend_recut_abc_g_aig_d13.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|current_symcof_frontend_recut|same_source_delay_target_frontend_synth|yosys_abc_g_aig_d14|abc_xf_official_evaluate|full_word_class_mux,,,,,,,,,,,,"official evaluate.py OK, but ADP 20190 does not beat current frontend target 20190; control recut of current frontend source; included to measure whether delay-targeted frontend synthesis alone beats 20190",ex286-struct-r2,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r2/ex286/logs/ex286_r2_current_symcof_frontend_recut_abc_g_aig_d14.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|semantic_order_shared_bdd_bucket_collision_first|home_bucket_collision_order_single_node_pool|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_shared_roots,,,,,,,,,,,,"official evaluate.py OK, but ADP 76950 does not beat current frontend target 20190; order_name=bucket_collision_first; order=4:5:6:7:8:10:1:3:2:0:12:9:11; bdd_nodes=2299",ex286-struct-r2,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r2/ex286/logs/ex286_r2_shared_bdd_bucket_collision_first.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|semantic_order_shared_bdd_home_slot_outside_in|home_bucket_collision_order_single_node_pool|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_shared_roots,,,,,,,,,,,,"official evaluate.py OK, but ADP 85440 does not beat current frontend target 20190; order_name=home_slot_outside_in; order=11:4:5:2:6:7:12:0:1:3:8:10:9; bdd_nodes=2473",ex286-struct-r2,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r2/ex286/logs/ex286_r2_shared_bdd_home_slot_outside_in.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|semantic_order_shared_bdd_twohot_image_cluster|home_bucket_collision_order_single_node_pool|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_shared_roots,,,,,,,,,,,,"official evaluate.py OK, but ADP 30780 does not beat current frontend target 20190; order_name=twohot_image_cluster; order=0:12:9:11:8:10:1:3:2:6:7:4:5; bdd_nodes=863",ex286-struct-r2,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r2/ex286/logs/ex286_r2_shared_bdd_twohot_image_cluster.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|semantic_order_shared_bdd_twohot_image_cluster|home_bucket_collision_order_single_node_pool|yosys_abc_g_aig_d13|abc_xf_official_evaluate|full_word_shared_roots,,,,,,,,,,,,"official evaluate.py OK, but ADP 30780 does not beat current frontend target 20190; order_name=twohot_image_cluster; order=0:12:9:11:8:10:1:3:2:6:7:4:5; bdd_nodes=863",ex286-struct-r2,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r2/ex286/logs/ex286_r2_shared_bdd_twohot_image_cluster_abc_g_aig_d13.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|semantic_order_shared_bdd_twohot_image_cluster|home_bucket_collision_order_single_node_pool|yosys_abc_g_aig_d14|abc_xf_official_evaluate|full_word_shared_roots,,,,,,,,,,,,"official evaluate.py OK, but ADP 30780 does not beat current frontend target 20190; order_name=twohot_image_cluster; order=0:12:9:11:8:10:1:3:2:6:7:4:5; bdd_nodes=863",ex286-struct-r2,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r2/ex286/logs/ex286_r2_shared_bdd_twohot_image_cluster_abc_g_aig_d14.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|semantic_order_shared_bdd_twohot_image_cluster|home_bucket_collision_order_single_node_pool|yosys_extra_opt_share|abc_xf_official_evaluate|full_word_shared_roots,,,,,,,,,,,,"official evaluate.py OK, but ADP 30780 does not beat current frontend target 20190; order_name=twohot_image_cluster; order=0:12:9:11:8:10:1:3:2:6:7:4:5; bdd_nodes=863",ex286-struct-r2,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r2/ex286/logs/ex286_r2_shared_bdd_twohot_image_cluster_extra_opt_share.evaluate.py.log,,,
