case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_wallace_square_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_csel6_abc_g_aig.aig,1,1,1,747,40,29880,15078,1.981695,0,0,0.788,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_csel6_wreduce_abc_g_aig.aig,1,1,1,749,40,29960,15078,1.987001,0,0,0.791,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_csel6+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_csel6_synth_preset.aig,1,1,1,741,40,29640,15078,1.965778,0,0,0.948,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_csel6; flow=synth_preset
ex273,ex273_square_wallace_square_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_csel6_synth_preset_d20.aig,1,1,1,741,40,29640,15078,1.965778,0,0,0.938,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_csel6; flow=synth_preset_d20
ex273,ex273_square_wallace_square_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_csel8_abc_g_aig.aig,1,1,1,755,39,29445,15078,1.952845,0,0,0.772,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_csel8_wreduce_abc_g_aig.aig,1,1,1,752,39,29328,15078,1.945086,0,0,0.790,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_csel8+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_csel8_synth_preset.aig,1,1,1,749,39,29211,15078,1.937326,0,0,0.954,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_csel8; flow=synth_preset
ex273,ex273_square_wallace_square_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_csel8_synth_preset_d20.aig,1,1,1,749,39,29211,15078,1.937326,0,0,0.957,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_csel8; flow=synth_preset_d20
ex273,ex273_square_wallace_square_rev_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_rev_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_rev_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_rev_csel6_abc_g_aig.aig,1,1,1,746,45,33570,15078,2.226423,0,0,0.771,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_rev_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_rev_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_rev_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_rev_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_rev_csel6_wreduce_abc_g_aig.aig,1,1,1,746,45,33570,15078,2.226423,0,0,0.789,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_rev_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_rev_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_rev_csel6+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_rev_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_rev_csel6_synth_preset.aig,1,1,1,743,45,33435,15078,2.217469,0,0,0.945,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_rev_csel6; flow=synth_preset
