case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex289,ex289_unknown_symcof_interleave_f00_k4_onehot_group,unknown_symmetry_cofactor_classonehot,interleave_f00_k4_onehot_group,student/work/ex289_frontend_symcof_selector_k3_20260609_0835/ex289/verilog/ex289_unknown_symcof_interleave_f00_k4_onehot_group.v,student/work/ex289_frontend_symcof_selector_k3_20260609_0835/ex289/aigs/ex289_unknown_symcof_interleave_f00_k4_onehot_group.aig,1,1,1,1755,19,33345,8.845,pairs=4:5; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:15:1:14; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; classes=16; group_nodes=312:311:246:247:311:265:247:232:246:247:277:305:247:232:305:293; total_group_nodes=4323; anf_bits=; popcount_repair_bits=; hash=c7adf472769a,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f00_k4_case_group,unknown_symmetry_cofactor_classonehot,interleave_f00_k4_case_group,student/work/ex289_frontend_symcof_selector_k3_20260609_0835/ex289/verilog/ex289_unknown_symcof_interleave_f00_k4_case_group.v,student/work/ex289_frontend_symcof_selector_k3_20260609_0835/ex289/aigs/ex289_unknown_symcof_interleave_f00_k4_case_group.aig,1,1,1,1726,19,32794,8.656,pairs=4:5; order=interleave; policy=f00; mux_style=case; bdd_share=group; outer_bits=0:15:1:14; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; classes=16; group_nodes=312:311:246:247:311:265:247:232:246:247:277:305:247:232:305:293; total_group_nodes=4323; anf_bits=; popcount_repair_bits=; hash=95170ce28b24,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f00_bits_0_1_12_onehot_group,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_0_1_12_onehot_group,student/work/ex289_frontend_symcof_selector_k3_20260609_0835/ex289/verilog/ex289_unknown_symcof_interleave_f00_bits_0_1_12_onehot_group.v,student/work/ex289_frontend_symcof_selector_k3_20260609_0835/ex289/aigs/ex289_unknown_symcof_interleave_f00_bits_0_1_12_onehot_group.aig,1,1,1,1859,24,44616,9.137,pairs=4:5; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:12; inner_bits=2:3:4:5:6:7:8:9:10:11:13:14:15; classes=8; group_nodes=344:362:362:330:347:362:362:327; total_group_nodes=2796; anf_bits=; popcount_repair_bits=; hash=8370804e46a6,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f00_bits_0_1_12_case_group,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_0_1_12_case_group,student/work/ex289_frontend_symcof_selector_k3_20260609_0835/ex289/verilog/ex289_unknown_symcof_interleave_f00_bits_0_1_12_case_group.v,student/work/ex289_frontend_symcof_selector_k3_20260609_0835/ex289/aigs/ex289_unknown_symcof_interleave_f00_bits_0_1_12_case_group.aig,1,1,1,1821,22,40062,9.122,pairs=4:5; order=interleave; policy=f00; mux_style=case; bdd_share=group; outer_bits=0:1:12; inner_bits=2:3:4:5:6:7:8:9:10:11:13:14:15; classes=8; group_nodes=344:362:362:330:347:362:362:327; total_group_nodes=2796; anf_bits=; popcount_repair_bits=; hash=158620a3a7d4,unknown symmetry cofactor class-onehot Verilog seed
