agent_id,case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,frontend_best_run,reference_adp,gap_to_reference,ratio_to_reference,method_signature,candidate_id
float-fp8-r4,ex247,float_fp8,9125,365,25,ex246_ex247_frontend_fp8_e5m2_bound_smallpat_20260608_2055,2975,6150,3.067227,ex247|frontend|frontend_fp8_e5m2_bound_smallpat,ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig
float-fp8-r4,ex246,float_fp8,7502,341,22,ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000,2805,4697,2.674510,ex246|frontend|frontend_fp8_e5m2_dc_neighbor12,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig
float-fp8-r4,ex244,float_fp8,10234,301,34,ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401,4272,5962,2.395599,ex244|frontend|frontend_fp8_magbdd_deltaeff,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig
float-fp8-r4,ex240,float_fp8,30090,590,51,ex240_frontend_fp8_diff_grs_20260608_1401,13299,16791,2.262576,ex240|frontend|frontend_fp8_diff_grs,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig
float-fp8-r4,ex245,float_fp8,23834,701,34,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,11050,12784,2.156923,ex245|frontend|frontend_fp8_e5m2_curated,ex245_semantic_add_gap_class_synth_preset_aig
float-fp8-r4,ex241,float_fp8,15544,536,29,ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330,7224,8320,2.151717,ex241|frontend|frontend_fp8_nested_tables_fix,ex241_semantic_mul_product_nested_exp_synth_preset_aig
float-fp8-r4,ex242,float_fp8,25320,1266,20,ex242_frontend_fp8_div_clean_sparse_20260608_1330,11900,13420,2.127731,ex242|frontend|frontend_fp8_div_clean_sparse,ex242_semantic_div_field_sparse_clean_synth_preset_aig
float-fp8-r4,ex249,float_fp8,4368,168,26,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,2079,2289,2.101010,ex249|frontend|frontend_fp8_e5m2_curated,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig
float-fp8-r4,ex248,float_fp8,8550,285,30,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,4180,4370,2.045455,ex248|frontend|frontend_fp8_e5m2_curated,ex248_semantic_fmod_periodic_rem_abc_g_aig
float-fp8-r4,ex253,float_fp8,2268,126,18,ex252_ex253_frontend_weighted_popcount_20260608_2224,1845,423,1.229268,ex253|frontend|frontend_weighted_popcount,ex253_semantic_u2_sum8_popcount_laneqcase_default
gf2-polish-r4,ex282,unknown,4032,144,28,ex200_ex299_frontend_refgap_round3_20260612_1554,2704,1328,1.491124,ex282|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig
gf2-polish-r4,ex281,unknown,3328,128,26,ex200_ex299_frontend_refgap_round3_20260612_1554,2336,992,1.424658,ex281|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig
gf2-polish-r4,ex283,unknown,4500,150,30,ex200_ex299_frontend_refgap_round3_20260612_1554,3168,1332,1.420455,ex283|quartic_gf2_event_filter|overlap_root_product_basis_wide_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig
gf2-polish-r4,ex284,unknown,5440,160,34,ex200_ex299_frontend_refgap_round3_20260612_1554,4240,1200,1.283019,ex284|quartic_gf2_event_filter|overlap_root_product_basis_wide_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig
gf2-polish-r4,ex280,unknown,2990,115,26,ex200_ex299_frontend_refgap_round3_20260612_1554,2415,575,1.238095,ex280|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig
integer-r4,ex266,integer,1480,148,10,ex266_frontend_udiv_best_wordmux_flow_20260609_1204,848,632,1.745283,ex266|frontend|frontend_udiv_best_wordmux_flow,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18
integer-r4,ex260,integer,1144,88,13,ex260_ex263_frontend_smul_constfa_signbit_20260609_0638,657,487,1.741248,ex260|frontend|frontend_smul_constfa_signbit,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig
integer-r4,ex276,integer,1010,101,10,ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656,632,378,1.598101,ex276|frontend|frontend_isqrt_newbest_gateflow,ex276_isqrt_prefix4_ge_bitwise_synth_preset
integer-r4,ex270,integer,3230,190,17,ex200_ex299_frontend_parallel_shared_20260612_1422,2076,1154,1.555877,ex270|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|triangular_square_Wallace_csel5_replay_from_current_frontend_best|existing_shared_cross_terms_and_square_compressor_rows|post_dch|unsigned_square_x*x|full_square_word,ex270_current_frontend_replay_post_dch
integer-r4,ex256,integer,2844,158,18,ex200_ex299_frontend_parallel_shared_20260612_1422,1911,933,1.488226,ex256|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|CSA_AND-row_CLA_replay_from_current_frontend_best|existing_shared_partial_products_and_CLA_final_carry|post_dch|unsigned_low5_high5_multiply|full_product_word,ex256_current_frontend_replay_post_dch
integer-r4,ex261,integer,2952,164,18,ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558,2041,911,1.446350,ex261|frontend|frontend_smul_baugh_rows_smoke,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig
integer-r4,ex277,integer,2844,237,12,ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618,1980,864,1.436364,ex277|frontend|frontend_isqrt_prefix_delta,ex277_isqrt_cofbdd4_reverse_synth_preset
routing-r4,ex286,unknown,21705,1447,15,ex286_frontend_multipair_symcof_synthflow_20260609_0634,2376,19329,9.135101,ex286|frontend|frontend_multipair_symcof_synthflow,ex286_interleave_f00_k4_abc_g_aig
routing-r4,ex287,unknown,27480,1832,15,ex287_frontend_multipair_symcof_synthflow_20260609_0634,5782,21698,4.752681,ex287|frontend|frontend_multipair_symcof_synthflow,ex287_interleave_f00_k5_abc_g_aig
routing-r4,ex285,unknown,13175,775,17,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,5499,7676,2.395890,ex285|frontend|frontend_current_synthflow,ex285_decision_tree_greedy_synth_preset
routing-r4,ex288,unknown,31598,2257,14,ex286_ex288_frontend_keybdd_selected_synth_20260609_1448,16394,15204,1.927412,ex288|frontend|frontend_keybdd_selected_synth,ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig
routing-r4,ex289,unknown,19893,1047,19,ex289_frontend_duality_symcof_split2_xorwrap_synthflow_20260609_1128,13620,6273,1.460573,ex289|frontend|frontend_duality_symcof_split2_xorwrap_synthflow,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig
state-r4,ex297,unknown,583596,32422,18,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,225900,357696,2.583426,ex297|frontend|frontend_current_synthflow,ex297_low_split_default_abc_g_aig
state-r4,ex299,unknown,2604734,118397,22,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,1013807,1590927,2.569260,ex299|frontend|frontend_current_synthflow,ex299_high_split_default_abc_g_aig
state-r4,ex295,unknown,138448,8653,16,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,68064,70384,2.034086,ex295|frontend|frontend_current_synthflow,ex295_low_split_default_abc_g_aig
state-r4,ex294,unknown,246698,10726,23,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,133365,113333,1.849796,ex294|frontend|frontend_bdd_synthflow,ex294_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_synth_preset
state-r4,ex292,unknown,142170,6770,21,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,84854,57316,1.675466,ex292|frontend|frontend_bdd_synthflow,ex292_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig
state-r4,ex290,unknown,61992,4428,14,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,42328,19664,1.464562,ex290|frontend|frontend_current_synthflow,ex290_rotate_high_split_default_abc_g_aig
state-r4,ex298,unknown,645639,33981,19,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,442296,203343,1.459744,ex298|frontend|frontend_current_synthflow,ex298_rotate_high_split_default_synth_preset
state-r4,ex291,unknown,97545,6503,15,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,66850,30695,1.459162,ex291|frontend|frontend_current_synthflow,ex291_rotate_high_split_default_synth_preset
state-r4,ex296,unknown,143792,8987,16,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,104025,39767,1.382283,ex296|frontend|frontend_current_synthflow,ex296_high_split_default_abc_g_aig
