case,domain,round4_candidates,round4_best_candidate,round4_best_adp,frontend_best_adp_now,reference_adp,frontend_ratio_to_reference,round4_improved_frontend,next_recommendation
ex200,bf16,1,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,63189,54405,40052,1.358359,0,needs new high-level hypothesis; avoid recorded low-value families
ex204,bf16,0,,,25670,15180,1.691041,0,needs new high-level hypothesis; avoid recorded low-value families
ex205,bf16,0,,,71104,47128,1.508742,0,needs new high-level hypothesis; avoid recorded low-value families
ex223,fp16,2,ex223_log_nested_low11_hi5_abc_g_aig,204307,204193,120549,1.693859,0,needs new high-level hypothesis; avoid recorded low-value families
ex224,fp16,0,,,96224,64708,1.487050,0,needs new high-level hypothesis; avoid recorded low-value families
ex225,fp16,2,ex225_log_nested_low12_hi5_abc_g_aig,219127,218728,116676,1.874661,0,needs new high-level hypothesis; avoid recorded low-value families
ex240,float_fp8,0,,,30090,13299,2.262576,0,needs new high-level hypothesis; avoid recorded low-value families
ex241,float_fp8,0,,,15544,7224,2.151717,0,needs new high-level hypothesis; avoid recorded low-value families
ex242,float_fp8,0,,,25320,11900,2.127731,0,needs new high-level hypothesis; avoid recorded low-value families
ex244,float_fp8,0,,,10234,4272,2.395599,0,needs new high-level hypothesis; avoid recorded low-value families
ex245,float_fp8,0,,,23834,11050,2.156923,0,needs new high-level hypothesis; avoid recorded low-value families
ex246,float_fp8,2,ex246_shared_decode_mul_threshold_rounding_default,14455,7502,2805,2.674510,0,needs new high-level hypothesis; avoid recorded low-value families
ex247,float_fp8,4,ex247_shared_decode_threshold_rounding_default,16765,9125,2975,3.067227,0,needs new high-level hypothesis; avoid recorded low-value families
ex248,float_fp8,0,,,8550,4180,2.045455,0,needs new high-level hypothesis; avoid recorded low-value families
ex249,float_fp8,0,,,4368,2079,2.101010,0,needs new high-level hypothesis; avoid recorded low-value families
ex253,float_fp8,0,,,2268,1845,1.229268,0,needs new high-level hypothesis; avoid recorded low-value families
ex256,integer,0,,,2844,1911,1.488226,0,needs new high-level hypothesis; avoid recorded low-value families
ex260,integer,1,ex260_smul_highlevel_sext_r4,2952,1144,657,1.741248,0,needs new high-level hypothesis; avoid recorded low-value families
ex261,integer,0,,,2952,2041,1.446350,0,needs new high-level hypothesis; avoid recorded low-value families
ex266,integer,1,ex266_udiv_threshold_therm_r4,15226,1480,848,1.745283,0,needs new high-level hypothesis; avoid recorded low-value families
ex270,integer,0,,,3230,2076,1.555877,0,needs new high-level hypothesis; avoid recorded low-value families
ex276,integer,0,,,1010,632,1.598101,0,needs new high-level hypothesis; avoid recorded low-value families
ex277,integer,0,,,2844,1980,1.436364,0,needs new high-level hypothesis; avoid recorded low-value families
ex280,unknown,0,,,2990,2415,1.238095,0,needs new high-level hypothesis; avoid recorded low-value families
ex281,unknown,0,,,3328,2336,1.424658,0,needs new high-level hypothesis; avoid recorded low-value families
ex282,unknown,1,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig,4032,4032,2704,1.491124,0,needs new high-level hypothesis; avoid recorded low-value families
ex283,unknown,1,ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig,5088,4500,3168,1.420455,0,needs new high-level hypothesis; avoid recorded low-value families
ex284,unknown,1,ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,5610,5440,4240,1.283019,0,needs new high-level hypothesis; avoid recorded low-value families
ex285,unknown,0,,,13175,5499,2.395890,0,needs new high-level hypothesis; avoid recorded low-value families
ex286,unknown,1,ex286_unknown_symcof_interleave_f11_k4_onehot_group,23424,21705,2376,9.135101,0,needs new high-level hypothesis; avoid recorded low-value families
ex287,unknown,2,ex287_unknown_symcof_interleave_f11_k5_case_group,29808,27480,5782,4.752681,0,needs new high-level hypothesis; avoid recorded low-value families
ex288,unknown,0,,,31598,16394,1.927412,0,needs new high-level hypothesis; avoid recorded low-value families
ex289,unknown,0,,,19893,13620,1.460573,0,needs new high-level hypothesis; avoid recorded low-value families
ex290,unknown,0,,,61992,42328,1.464562,0,needs new high-level hypothesis; avoid recorded low-value families
ex291,unknown,0,,,97545,66850,1.459162,0,needs new high-level hypothesis; avoid recorded low-value families
ex292,unknown,0,,,142170,84854,1.675466,0,needs new high-level hypothesis; avoid recorded low-value families
ex293,unknown,0,,,144972,112966,1.283324,0,needs new high-level hypothesis; avoid recorded low-value families
ex294,unknown,0,,,246698,133365,1.849796,0,needs new high-level hypothesis; avoid recorded low-value families
ex295,unknown,0,,,138448,68064,2.034086,0,needs new high-level hypothesis; avoid recorded low-value families
ex296,unknown,0,,,143792,104025,1.382283,0,needs new high-level hypothesis; avoid recorded low-value families
ex297,unknown,2,ex297_state_r4_truth_high_split_replay,694029,583596,225900,2.583426,0,needs new high-level hypothesis; avoid recorded low-value families
ex298,unknown,0,,,645639,442296,1.459744,0,needs new high-level hypothesis; avoid recorded low-value families
ex299,unknown,1,ex299_state_r4_value_case_replay,3529387,2604734,1013807,2.569260,0,needs new high-level hypothesis; avoid recorded low-value families
