case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex255,ex255_umul_csa_vector_abc_g_aig_d18,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d18.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d18
ex255,ex255_umul_csa_vector_abc_g_aig_d20,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d20
ex255,ex255_umul_csa_vector_abc_g_aig_d24,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d24.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d24
ex255,ex255_umul_csa_vector_abc_g_aig_d28,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d28.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d28
ex255,ex255_umul_csa_vector_abc_g_aig_d32,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d32.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d32
ex255,ex255_umul_csa_vector_synth_preset_d18,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d18.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d18
ex255,ex255_umul_csa_vector_synth_preset_d20,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d20
ex255,ex255_umul_csa_vector_synth_preset_d24,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d24.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d24
ex255,ex255_umul_csa_vector_synth_preset_d28,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d28.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d28
ex255,ex255_umul_csa_vector_synth_preset_d32,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d32.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d32
ex255,ex255_umul_csa_androws_abc_g_aig_d18,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d18.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d18
ex255,ex255_umul_csa_androws_abc_g_aig_d20,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d20
ex255,ex255_umul_csa_androws_abc_g_aig_d24,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d24.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d24
ex255,ex255_umul_csa_androws_abc_g_aig_d28,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d28.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d28
ex255,ex255_umul_csa_androws_abc_g_aig_d32,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d32.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d32
ex255,ex255_umul_csa_androws_synth_preset_d18,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_synth_preset_d18.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=synth_preset_d18
ex255,ex255_umul_csa_androws_synth_preset_d20,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_synth_preset_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=synth_preset_d20
ex255,ex255_umul_csa_androws_synth_preset_d24,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_synth_preset_d24.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=synth_preset_d24
ex255,ex255_umul_csa_androws_synth_preset_d28,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_synth_preset_d28.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=synth_preset_d28
ex255,ex255_umul_csa_androws_synth_preset_d32,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_synth_preset_d32.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=synth_preset_d32
ex255,ex255_umul_csa_concat_abc_g_aig_d18,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_abc_g_aig_d18.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=abc_g_aig_d18
ex255,ex255_umul_csa_concat_abc_g_aig_d20,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=abc_g_aig_d20
ex255,ex255_umul_csa_concat_abc_g_aig_d24,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_abc_g_aig_d24.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=abc_g_aig_d24
ex255,ex255_umul_csa_concat_abc_g_aig_d28,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_abc_g_aig_d28.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=abc_g_aig_d28
ex255,ex255_umul_csa_concat_abc_g_aig_d32,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_abc_g_aig_d32.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=abc_g_aig_d32
ex255,ex255_umul_csa_concat_synth_preset_d18,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_synth_preset_d18.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=synth_preset_d18
ex255,ex255_umul_csa_concat_synth_preset_d20,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_synth_preset_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=synth_preset_d20
ex255,ex255_umul_csa_concat_synth_preset_d24,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_synth_preset_d24.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=synth_preset_d24
ex255,ex255_umul_csa_concat_synth_preset_d28,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_synth_preset_d28.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=synth_preset_d28
ex255,ex255_umul_csa_concat_synth_preset_d32,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_synth_preset_d32.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=synth_preset_d32
ex255,ex255_umul_csa_concat_center_abc_g_aig_d18,1,86,14,1204,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_center_abc_g_aig_d18.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=abc_g_aig_d18
ex255,ex255_umul_csa_concat_center_abc_g_aig_d20,1,86,14,1204,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_center_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=abc_g_aig_d20
ex255,ex255_umul_csa_concat_center_abc_g_aig_d24,1,86,14,1204,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_center_abc_g_aig_d24.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=abc_g_aig_d24
ex255,ex255_umul_csa_concat_center_abc_g_aig_d28,1,86,14,1204,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_center_abc_g_aig_d28.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=abc_g_aig_d28
ex255,ex255_umul_csa_concat_center_abc_g_aig_d32,1,86,14,1204,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_center_abc_g_aig_d32.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=abc_g_aig_d32
ex255,ex255_umul_csa_concat_center_synth_preset_d18,1,85,16,1360,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_center_synth_preset_d18.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=synth_preset_d18
ex255,ex255_umul_csa_concat_center_synth_preset_d20,1,85,16,1360,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_concat_center_synth_preset_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=synth_preset_d20
