case,domain,candidate_id,equivalent,area,delay,adp,reference_adp,current_frontend_adp,verilog_path,aig_path,log_path,method_signature,agent_id,run_id,notes
ex247,float_fp8,ex247_key_bdd_delta_sig_round9_default,1,695,22,15290,2975,8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/verilog/ex247_key_bdd_delta_sig_round9.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/aigs/ex247_key_bdd_delta_sig_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_key_bdd_delta_sig_round9_default.official_evaluate.log,ex247|E5M2FN packed low-over-high division|reduced semantic-key BDD ordered by exponent delta before sigpair bits|shared exponent-delta/sigpair semantic key feeding all output bits|yosys_default_official_evaluate|exact_e5m2fn_div_low_over_high|semantic_key_bdd_delta_then_sigpair,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py status OK; runtime_sec=0.813; synth_log=student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_key_bdd_delta_sig_round9_default.yosys.log
ex247,float_fp8,ex247_sigpair_possible_denzero_round9_abc_g_aig,1,444,23,10212,2975,8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/verilog/ex247_sigpair_possible_denzero_round9.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/aigs/ex247_sigpair_possible_denzero_round9_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_sigpair_possible_denzero_round9_abc_g_aig.official_evaluate.log,"ex247|E5M2FN packed low-over-high division|nonzero sigpair quotient class plus explicit denominator-zero rows|shared sign xor, exponent delta, nonzero quotient class, and denominator-zero saturation predicates|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|nonzero_sigpair_with_denzero_rows",fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py status OK; runtime_sec=0.999; synth_log=student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_sigpair_possible_denzero_round9_abc_g_aig.yosys.log
ex247,float_fp8,ex247_sigpair_possible_denzero_round9_default,1,446,23,10258,2975,8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/verilog/ex247_sigpair_possible_denzero_round9.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/aigs/ex247_sigpair_possible_denzero_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_sigpair_possible_denzero_round9_default.official_evaluate.log,"ex247|E5M2FN packed low-over-high division|nonzero sigpair quotient class plus explicit denominator-zero rows|shared sign xor, exponent delta, nonzero quotient class, and denominator-zero saturation predicates|yosys_default_official_evaluate|exact_e5m2fn_div_low_over_high|nonzero_sigpair_with_denzero_rows",fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py status OK; runtime_sec=0.985; synth_log=student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_sigpair_possible_denzero_round9_default.yosys.log
ex249,float_fp8,ex249_semantic_hypot_threshold_rawexp_abc_g_AND_D21,1,191,30,5730,2079,4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_abc_g_AND_D21.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/logs/ex249_semantic_hypot_threshold_rawexp_abc_g_AND_D21.evaluate.py.log,ex249|E5M2 packed hypot threshold rawexp current source synth-flow replay|semantic_hypot_threshold_rawexp_current_source|shared_current_decode_region_logic|yosys_abc_g_AND_D21|abc_xf_official_evaluate|full_output,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g AND -D 21`; avoids changing low-value source table
ex249,float_fp8,ex249_semantic_hypot_threshold_rawexp_abc_g_aig,1,173,30,5190,2079,4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/logs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig.evaluate.py.log,ex249|E5M2 packed hypot threshold rawexp current source synth-flow replay|semantic_hypot_threshold_rawexp_current_source|shared_current_decode_region_logic|yosys_abc_g_aig|abc_xf_official_evaluate|full_output,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig`; avoids changing low-value source table
ex249,float_fp8,ex249_semantic_hypot_threshold_rawexp_abc_g_aig_D18,1,173,30,5190,2079,4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig_D18.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/logs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig_D18.evaluate.py.log,ex249|E5M2 packed hypot threshold rawexp current source synth-flow replay|semantic_hypot_threshold_rawexp_current_source|shared_current_decode_region_logic|yosys_abc_g_aig_D18|abc_xf_official_evaluate|full_output,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig -D 18`; avoids changing low-value source table
ex249,float_fp8,ex249_semantic_hypot_threshold_rawexp_abc_g_aig_D21,1,173,30,5190,2079,4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig_D21.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/logs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig_D21.evaluate.py.log,ex249|E5M2 packed hypot threshold rawexp current source synth-flow replay|semantic_hypot_threshold_rawexp_current_source|shared_current_decode_region_logic|yosys_abc_g_aig_D21|abc_xf_official_evaluate|full_output,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig -D 21`; avoids changing low-value source table
ex285,unknown,ex285_r9_component_pair_field_blocker,,,,,5499,13175,,,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/routing-r9/ex285/logs/ex285_component_pair_field_blocker.log,ex285|hamming_weight_preserving_lossy_routing_normalizer|component_paircount_orientation_descriptor|fresh_degree3_image_constraints_plus_pair_field_split|no_synth|abc_xf_truth_diagnostic|adjacent_pair_count_fields,routing-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,not_run_no_candidate; blocker is truth-derived diagnostic
ex286,unknown,ex286_r9_component_pair_field_blocker,,,,,2376,20190,,,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/routing-r9/ex286/logs/ex286_component_pair_field_blocker.log,ex286|hamming_weight_preserving_lossy_routing_normalizer|component_paircount_orientation_descriptor|fresh_degree3_image_constraints_plus_pair_field_split|no_synth|abc_xf_truth_diagnostic|adjacent_pair_count_fields,routing-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,not_run_no_candidate; blocker is truth-derived diagnostic
ex287,unknown,ex287_r9_component_pair_field_blocker,,,,,5782,27480,,,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/routing-r9/ex287/logs/ex287_component_pair_field_blocker.log,ex287|hamming_weight_preserving_lossy_routing_normalizer|component_paircount_orientation_descriptor|fresh_degree3_image_constraints_plus_pair_field_split|no_synth|abc_xf_truth_diagnostic|adjacent_pair_count_fields,routing-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,not_run_no_candidate; blocker is truth-derived diagnostic
ex288,unknown,ex288_r9_component_pair_field_blocker,,,,,16394,31598,,,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/routing-r9/ex288/logs/ex288_component_pair_field_blocker.log,ex288|hamming_weight_preserving_lossy_routing_normalizer|component_paircount_orientation_descriptor|fresh_degree3_image_constraints_plus_pair_field_split|no_synth|abc_xf_truth_diagnostic|adjacent_pair_count_fields,routing-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,not_run_no_candidate; blocker is truth-derived diagnostic
ex299,unknown,ex299_cell_anchor_delta_split_abc_g_aig,1,149817,23,3445791,1013807,2604734,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/state-r9/ex299/verilog/ex299_cell_anchor_delta_split_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/state-r9/ex299/aigs/ex299_cell_anchor_delta_split_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/state-r9/ex299/official_eval/ex299_cell_anchor_delta_split_abc_g_aig.evaluate.py.log,ex299|cyclic 2-bit-symbol transition descriptor|anchored_cell_delta_split_default|shared anchor cell plus adjacent cell delta key and grouped exceptions|yosys_abc_g_aig|official_truth_exact_invertible_cell_delta_key|word output table grouped by anchored cell-transition descriptor,state-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,evaluate.py exit 0
