case,mode,bucket_order,output_order,selector_policy,matches,total_rows,match_ratio,bit_mismatches,total_bits,bit_match_ratio,notes
ex286,bucket_segment,selector_specific,selector_specific,selector_specific_layout_offset,103,8192,0.012573,47338,106496,0.555495,selectors=raw3:raw10:xor6_7; policies=0:slot_asc:onehot_slots_last:off5;1:slot_asc:onehot_slots_last:off5;2:center_slot:reverse:off11;3:slot_desc:onehot_slots_last:off0;4:slot_asc:outside:off2;5:slot_asc:onehot_slots_last:off5;6:outside_slot:onehot_slots_last:off2;7:center_slot:center:off1
ex286,bucket_segment,slot_asc,onehot_slots_first,none,69,8192,0.008423,48356,106496,0.545936,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:1:0:0:0;sel=0;pred=0x60;exp=0xc
ex286,bucket_segment,slot_desc,onehot_slots_rev_first,none,68,8192,0.008301,48750,106496,0.542236,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:1:0:0:0;sel=0;pred=0x60;exp=0xc
ex286,prefix_zeros,selector_specific,selector_specific,selector_specific_layout_offset,48,8192,0.005859,48246,106496,0.546969,selectors=raw3:raw10:xor6_7; policies=0:slot_desc:natural:off10;1:slot_desc:onehot_slots_rev_first:off2;2:slot_desc:reverse:off1;3:slot_desc:onehot_slots_rev_first:off4;4:slot_desc:outside:off2;5:slot_desc:center:off3;6:slot_desc:outside:off12;7:slot_desc:onehot_slots_last:off9
ex286,prefix_ones,selector_specific,selector_specific,selector_specific_layout_offset,47,8192,0.005737,48494,106496,0.544640,selectors=raw3:raw10:xor6_7; policies=0:slot_desc:reverse:off3;1:slot_desc:onehot_slots_last:off11;2:slot_desc:outside:off6;3:slot_desc:outside:off6;4:slot_desc:center:off11;5:slot_desc:outside:off10;6:slot_desc:center:off1;7:slot_desc:center:off1
ex286,bucket_segment,center_slot,reverse,selector_offset_rev,26,8192,0.003174,47880,106496,0.550406,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1000;exp=0x40
ex286,bucket_segment,slot_asc,onehot_slots_first,selector_offset_rev,25,8192,0.003052,48810,106496,0.541673,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:1:0:0:0;sel=0;pred=0x60;exp=0xc
ex286,bucket_segment,outside_slot,outside,selector_offset,25,8192,0.003052,49292,106496,0.537147,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x200;exp=0x40
ex286,bucket_segment,slot_desc,onehot_slots_rev_first,selector_offset_rev,24,8192,0.002930,49528,106496,0.534931,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:1:0:0:0;sel=0;pred=0x60;exp=0xc
ex286,bucket_segment,center_slot,center,none,23,8192,0.002808,48348,106496,0.546011,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:1:0:0:0;sel=0;pred=0x60;exp=0xc
