case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_fullrow_csa_csel4_abc_g_aig,unsigned_square_x_times_x,square_fullrow_csa_csel4+abc_g_aig,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_fullrow_csa_csel4.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_fullrow_csa_csel4_abc_g_aig.aig,1,1,1,1007,45,45315,15078,3.005372,0,0,1.369,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_fullrow_csa_csel4; flow=abc_g_aig
ex273,ex273_square_fullrow_csa_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,square_fullrow_csa_csel4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_fullrow_csa_csel4.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_fullrow_csa_csel4_wreduce_abc_g_aig.aig,1,1,1,1000,45,45000,15078,2.984481,0,0,1.465,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_fullrow_csa_csel4; flow=wreduce_abc_g_aig
ex273,ex273_square_fullrow_csa_csel4_synth_preset,unsigned_square_x_times_x,square_fullrow_csa_csel4+synth_preset,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_fullrow_csa_csel4.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_fullrow_csa_csel4_synth_preset.aig,1,1,1,1007,45,45315,15078,3.005372,0,0,1.986,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_fullrow_csa_csel4; flow=synth_preset
ex273,ex273_square_fullrow_csa_csel6_abc_g_aig,unsigned_square_x_times_x,square_fullrow_csa_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_fullrow_csa_csel6.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_fullrow_csa_csel6_abc_g_aig.aig,1,1,1,1009,47,47423,15078,3.145178,0,0,1.414,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_fullrow_csa_csel6; flow=abc_g_aig
ex273,ex273_square_fullrow_csa_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,square_fullrow_csa_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_fullrow_csa_csel6.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_fullrow_csa_csel6_wreduce_abc_g_aig.aig,1,1,1,1011,46,46506,15078,3.084361,0,0,1.481,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_fullrow_csa_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_fullrow_csa_csel6_synth_preset,unsigned_square_x_times_x,square_fullrow_csa_csel6+synth_preset,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_fullrow_csa_csel6.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_fullrow_csa_csel6_synth_preset.aig,1,1,1,1006,44,44264,15078,2.935668,0,0,1.991,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_fullrow_csa_csel6; flow=synth_preset
ex273,ex273_square_fullrow_csa_csel8_abc_g_aig,unsigned_square_x_times_x,square_fullrow_csa_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_fullrow_csa_csel8.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_fullrow_csa_csel8_abc_g_aig.aig,1,1,1,1003,49,49147,15078,3.259517,0,0,1.389,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_fullrow_csa_csel8; flow=abc_g_aig
ex273,ex273_square_fullrow_csa_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,square_fullrow_csa_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_fullrow_csa_csel8.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_fullrow_csa_csel8_wreduce_abc_g_aig.aig,1,1,1,1002,50,50100,15078,3.322722,0,0,1.487,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_fullrow_csa_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_fullrow_csa_csel8_synth_preset,unsigned_square_x_times_x,square_fullrow_csa_csel8+synth_preset,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_fullrow_csa_csel8.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_fullrow_csa_csel8_synth_preset.aig,1,1,1,1001,45,45045,15078,2.987465,0,0,2.017,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_fullrow_csa_csel8; flow=synth_preset
ex273,ex273_square_halfprod_mid_abc_g_aig,unsigned_square_x_times_x,square_halfprod_mid+abc_g_aig,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/verilog/ex273_square_halfprod_mid.v,student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/aigs/ex273_square_halfprod_mid_abc_g_aig.aig,1,0,0,,,,15078,,,,0.011,square_specific_structural_rtl,SynthError: Yosys failed exit=1; see student/work/ex273_ex274_frontend_square_highgap_struct_20260609_1738/ex273/logs/ex273_square_halfprod_mid_abc_g_aig.yosys.log
