case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d9,1,166,19,3154,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d9
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,1,166,19,3154,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,1,166,19,3154,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d15,1,166,19,3154,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d15.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d15
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d18,1,166,19,3154,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig,1,167,20,3340,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d9,1,167,20,3340,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig_d9
ex261,ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d11,1,167,20,3340,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d11.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig_d11
ex261,ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d13,1,167,20,3340,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig_d13
ex261,ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d15,1,167,20,3340,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d15.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig_d15
