case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+abc_g_aig,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.228,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d9.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d15,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig_d15.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+synth_preset_d9,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d9.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.250,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+synth_preset_d11,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d11.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.249,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+synth_preset_d13,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.252,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d15,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+synth_preset_d15,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d15.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d15
