case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex286,ex286_unknown_symcof_interleave_f00_k2,unknown_symmetry_cofactor_classonehot,interleave_f00_k2,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_k2.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_k2.aig,1,1,1,1441,18,25938,1.456,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=0:12; inner_bits=1:2:3:4:5:6:7:8:9:10:11; classes=4; group_nodes=402:390:405:402; total_group_nodes=1599; hash=59cead3a3a34",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_k3,unknown_symmetry_cofactor_classonehot,interleave_f00_k3,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_k3.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_k3.aig,1,1,1,1424,17,24208,1.431,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=0:12:1; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=8; group_nodes=238:243:231:243:249:230:252:243; total_group_nodes=1929; hash=dda9e15c8de8",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_k4,unknown_symmetry_cofactor_classonehot,interleave_f00_k4,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_k4.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_k4.aig,1,1,1,1449,16,23184,1.414,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=0:12:1:11; inner_bits=2:3:4:5:6:7:8:9:10; classes=16; group_nodes=134:147:145:152:150:133:157:153:148:141:123:139:150:143:143:133; total_group_nodes=2291; hash=9fd478cb0a63",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_bits_4_5_6_7,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_4_5_6_7,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_bits_4_5_6_7.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_bits_4_5_6_7.aig,1,1,1,4455,19,84645,2.311,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=4:5:6:7; inner_bits=0:1:2:3:8:9:10:11:12; classes=8; group_nodes=462:477:450:448:435:456:476:464; total_group_nodes=3668; hash=ab037bf667ba",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_bits_4_6_5_7,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_4_6_5_7,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_bits_4_6_5_7.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_bits_4_6_5_7.aig,1,1,1,4471,19,84949,2.310,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=4:6:5:7; inner_bits=0:1:2:3:8:9:10:11:12; classes=8; group_nodes=462:477:448:435:450:456:476:464; total_group_nodes=3668; hash=b02719a39258",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_bits_4_6_0_12,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_4_6_0_12,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_bits_4_6_0_12.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_bits_4_6_0_12.aig,1,1,1,3474,18,62532,2.214,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=4:6:0:12; inner_bits=1:2:3:5:7:8:9:10:11; classes=16; group_nodes=198:301:246:282:211:292:242:286:201:304:235:272:213:298:233:273; total_group_nodes=4087; hash=5ebf36f7fdb8",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_bits_5_7_0_12,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_5_7_0_12,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_bits_5_7_0_12.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_bits_5_7_0_12.aig,1,1,1,4260,19,80940,2.562,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=5:7:0:12; inner_bits=1:2:3:4:6:8:9:10:11; classes=16; group_nodes=275:331:364:341:268:321:357:339:296:333:368:344:285:330:366:346; total_group_nodes=5264; hash=fbe2ef60fa22",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_bits_4_5_6_7_0,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_4_5_6_7_0,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_bits_4_5_6_7_0.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_bits_4_5_6_7_0.aig,1,1,1,4273,18,76914,2.361,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=4:5:6:7:0; inner_bits=1:2:3:8:9:10:11:12; classes=16; group_nodes=263:282:266:253:248:276:273:280:279:276:259:266:248:255:280:266; total_group_nodes=4270; hash=48b551a190c1",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_bits_4_5_6_7_12,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_4_5_6_7_12,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_bits_4_5_6_7_12.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_bits_4_5_6_7_12.aig,1,1,1,4346,18,78228,2.548,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=4:5:6:7:12; inner_bits=0:1:2:3:8:9:10:11; classes=16; group_nodes=336:349:326:325:319:336:352:348:344:352:318:324:318:322:344:334; total_group_nodes=5347; hash=282fbb85454a",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_bits_4_5_6_7_0_12,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_4_5_6_7_0_12,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f00_bits_4_5_6_7_0_12.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f00_bits_4_5_6_7_0_12.aig,1,1,1,4385,17,74545,2.742,"pairs=4:5,6:7; order=interleave; policy=f00; outer_bits=4:5:6:7:0:12; inner_bits=1:2:3:8:9:10:11; classes=32; group_nodes=198:213:201:186:184:213:208:216:211:208:194:197:184:190:213:202:201:215:197:190:184:200:206:211:213:211:190:200:186:184:212:198; total_group_nodes=6416; hash=9ae0e07bfb06",unknown symmetry cofactor class-onehot Verilog seed
