case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_hybrid_bddtop2_default,unsigned_square_x_times_x,hybrid_bddtop2+default,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_default.aig,1,1,1,1255,44,55220,21630,2.552936,0,0,3.449,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=default
ex274,ex274_square_hybrid_bddtop2_wreduce_default,unsigned_square_x_times_x,hybrid_bddtop2+wreduce_default,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_wreduce_default.aig,1,1,1,1274,44,56056,21630,2.591586,0,0,3.449,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=wreduce_default
ex274,ex274_square_hybrid_bddtop2_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_abc_g_aig.aig,1,1,1,994,44,43736,21630,2.022006,0,0,3.407,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_abc_g_aig_d16,unsigned_square_x_times_x,hybrid_bddtop2+abc_g_aig_d16,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_abc_g_aig_d16.aig,1,1,1,994,44,43736,21630,2.022006,0,0,3.459,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=abc_g_aig_d16
ex274,ex274_square_hybrid_bddtop2_abc_g_aig_d20,unsigned_square_x_times_x,hybrid_bddtop2+abc_g_aig_d20,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_abc_g_aig_d20.aig,1,1,1,994,44,43736,21630,2.022006,0,0,3.404,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=abc_g_aig_d20
ex274,ex274_square_hybrid_bddtop2_abc_g_aig_d24,unsigned_square_x_times_x,hybrid_bddtop2+abc_g_aig_d24,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_abc_g_aig_d24.aig,1,1,1,994,44,43736,21630,2.022006,0,0,3.412,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=abc_g_aig_d24
ex274,ex274_square_hybrid_bddtop2_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_wreduce_abc_g_aig.aig,1,1,1,990,44,43560,21630,2.013870,0,0,3.419,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2+synth_preset,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_synth_preset.aig,1,1,1,990,43,42570,21630,1.968100,0,0,3.596,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_synth_preset_d16,unsigned_square_x_times_x,hybrid_bddtop2+synth_preset_d16,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_synth_preset_d16.aig,1,1,1,990,43,42570,21630,1.968100,0,0,3.583,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=synth_preset_d16
ex274,ex274_square_hybrid_bddtop2_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2+synth_preset_d20,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_synth_preset_d20.aig,1,1,1,990,43,42570,21630,1.968100,0,0,3.572,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_synth_preset_d24,unsigned_square_x_times_x,hybrid_bddtop2+synth_preset_d24,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_synth_preset_d24.aig,1,1,1,990,43,42570,21630,1.968100,0,0,3.617,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=synth_preset_d24
