case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop5_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop5+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop5.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop5_abc_g_aig.aig,1,1,1,888,33,29304,15078,1.943494,0,0,0.946,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop5_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop5+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop5.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop5_wreduce_abc_g_aig.aig,1,1,1,886,32,28352,15078,1.880355,0,0,0.844,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop5_synth_preset,unsigned_square_x_times_x,hybrid_bddtop5+synth_preset,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop5.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop5_synth_preset.aig,1,1,1,876,32,28032,15078,1.859133,0,0,1.011,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5; flow=synth_preset
ex273,ex273_square_hybrid_bddtop6_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop6+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop6.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop6_abc_g_aig.aig,1,1,1,1026,32,32832,15078,2.177477,0,0,0.837,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop6; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop6_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop6.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop6_wreduce_abc_g_aig.aig,1,1,1,1028,32,32896,15078,2.181722,0,0,0.905,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop6; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop6_synth_preset,unsigned_square_x_times_x,hybrid_bddtop6+synth_preset,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop6.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop6_synth_preset.aig,1,1,1,1010,31,31310,15078,2.076535,0,0,1.072,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop6; flow=synth_preset
ex273,ex273_square_hybrid_bddtop5_order_outside_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop5_order_outside+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop5_order_outside.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop5_order_outside_abc_g_aig.aig,1,1,1,1194,32,38208,15078,2.534023,0,0,0.930,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5_order_outside; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop5_order_outside_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop5_order_outside+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop5_order_outside.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop5_order_outside_wreduce_abc_g_aig.aig,1,1,1,1204,33,39732,15078,2.635097,0,0,0.956,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5_order_outside; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop5_order_outside_synth_preset,unsigned_square_x_times_x,hybrid_bddtop5_order_outside+synth_preset,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop5_order_outside.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop5_order_outside_synth_preset.aig,1,1,1,1145,33,37785,15078,2.505969,0,0,1.223,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5_order_outside; flow=synth_preset
ex273,ex273_square_hybrid_bddtop5_order_center_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop5_order_center+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop5_order_center.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop5_order_center_abc_g_aig.aig,1,1,1,1270,32,40640,15078,2.695318,0,0,0.942,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5_order_center; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop5_order_center_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop5_order_center+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop5_order_center.v,student/work/ex273_ex274_frontend_square_bddtop56_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop5_order_center_wreduce_abc_g_aig.aig,1,1,1,1239,33,40887,15078,2.711699,0,0,0.962,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5_order_center; flow=wreduce_abc_g_aig
