case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,notes
ex205,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1,bf16_log10,log10,sep_fields_e3_m3_s0_bits_15_bh1,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex205/verilog/ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1.v,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex205/aigs/ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1.aig,1,1,4463,17,75871,47128,1.609892,0,0,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=7913; sep bit overrides bits=15 bit_hi_bits=1 bit_items=8; curated_active_seed
ex206,ex206_bf16_sin_odd_pos_fullword_h4,bf16_sin,sin,odd_pos_fullword_h4,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex206/verilog/ex206_bf16_sin_odd_pos_fullword_h4.v,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex206/aigs/ex206_bf16_sin_odd_pos_fullword_h4.aig,1,1,26872,21,564312,539049,1.046866,1,0,positive-domain full word with odd sign flip hi_bits=4 items=32359
ex207,ex207_bf16_tan_odd_pos_fullword_expflip_h4,bf16_tan,tan,odd_pos_fullword_expflip_h4,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex207/verilog/ex207_bf16_tan_odd_pos_fullword_expflip_h4.v,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex207/aigs/ex207_bf16_tan_odd_pos_fullword_expflip_h4.aig,1,1,29873,21,627333,627817,0.999229,1,1,positive-domain full word with odd sign flip hi_bits=4 items=32509; sign flip simplified to exp!=255
ex208,ex208_bf16_sinh_default_in_const_excepts_h4,bf16_sinh,sinh,default_in_const_excepts_h4,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex208/verilog/ex208_bf16_sinh_default_in_const_excepts_h4.v,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex208/aigs/ex208_bf16_sinh_default_in_const_excepts_h4.aig,1,1,2167,15,32505,24505,1.326464,1,0,default expr in with exception hi_bits=4 items=2706; curated_active_seed
ex209,ex209_bf16_tanh_sign_exp_default_expr_casez,bf16_tanh,tanh,sign_exp_default_expr_casez,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex209/verilog/ex209_bf16_tanh_sign_exp_default_expr_casez.v,student/work/ex205_ex209_frontend_bf16_semantic_20260606_0946/ex209/aigs/ex209_bf16_tanh_sign_exp_default_expr_casez.aig,1,1,756,13,9828,7320,1.342623,1,0,range-compressed sign-exp default expression groups=3 exceptions=33680 items=33970; curated_active_seed
