case,candidate_id,returncode,output
ex205,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1,0,case     status           area    delay            adp | ------------------------------------------------------ | ex205    OK               4463       17          75871 | ------------------------------------------------------ | Equivalent cases: 1/1 | Total ADP over equivalent cases: 75871
ex206,ex206_bf16_sin_odd_pos_fullword_h4,0,case     status           area    delay            adp | ------------------------------------------------------ | ex206    OK              26872       21         564312 | ------------------------------------------------------ | Equivalent cases: 1/1 | Total ADP over equivalent cases: 564312
ex207,ex207_bf16_tan_odd_pos_fullword_expflip_h4,0,case     status           area    delay            adp | ------------------------------------------------------ | ex207    OK              29873       21         627333 | ------------------------------------------------------ | Equivalent cases: 1/1 | Total ADP over equivalent cases: 627333
ex208,ex208_bf16_sinh_default_in_const_excepts_h4,0,case     status           area    delay            adp | ------------------------------------------------------ | ex208    OK               2167       15          32505 | ------------------------------------------------------ | Equivalent cases: 1/1 | Total ADP over equivalent cases: 32505
ex209,ex209_bf16_tanh_sign_exp_default_expr_casez,0,case     status           area    delay            adp | ------------------------------------------------------ | ex209    OK                756       13           9828 | ------------------------------------------------------ | Equivalent cases: 1/1 | Total ADP over equivalent cases: 9828
