case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex255,1,ex255_umul_wallace_bits_abc_g_aig,87,13,1131,836,1.352871,ex255_umul_wallace_bits_abc_g_aig
ex256,1,ex256_umul_csa_androws_cla_abc_g_aig,159,18,2862,1911,1.497645,ex256_umul_csa_androws_cla_abc_g_aig
ex257,1,ex257_umul_csa_androws_cla_from3_synth_preset_d13,263,20,5260,3952,1.330972,ex257_umul_csa_androws_cla_from3_synth_preset_d13
ex258,1,ex258_umul_wallace_bits_abc_g_aig,351,25,8775,6289,1.395293,ex258_umul_wallace_bits_abc_g_aig
ex259,1,ex259_umul_wallace_bits_cla_abc_g_aig,480,28,13440,10000,1.344000,ex259_umul_wallace_bits_cla_abc_g_aig
ex260,1,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,88,13,1144,657,1.741248,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig
ex261,1,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,164,18,2952,2041,1.446350,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig
ex262,1,ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig,252,22,5544,4900,1.131429,ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig
ex263,1,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,362,24,8688,6840,1.270175,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11
ex264,1,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,486,27,13122,9724,1.349445,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig
ex265,1,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,63,8,504,322,1.565217,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset
ex266,1,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18,148,10,1480,848,1.745283,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18
ex267,1,ex267_udiv_hybrid_top2_deep_abc_g_aig,340,12,4080,2651,1.539042,ex267_udiv_hybrid_top2_deep_abc_g_aig
ex268,1,ex268_udiv_denom_lz_range_direct_synth_preset,199,53,10547,7446,1.416465,ex268_udiv_denom_lz_range_direct_synth_preset
ex269,1,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig,380,41,15580,11760,1.324830,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig
ex270,1,ex270_square_wallace_square_outside_csel5_abc_g_aig,191,17,3247,2076,1.564066,ex270_square_wallace_square_outside_csel5_abc_g_aig
ex271,1,ex271_square_wallace_square_outside_csel4_synth_preset,331,25,8275,5542,1.493143,ex271_square_wallace_square_outside_csel4_synth_preset
ex272,1,ex272_square_wallace_square_outside_csel5_synth_preset,507,32,16224,10880,1.491176,ex272_square_wallace_square_outside_csel5_synth_preset
ex273,1,ex273_square_hybrid_bddtop4_wreduce_abc_g_aig,797,33,26301,15078,1.744329,ex273_square_hybrid_bddtop4_wreduce_abc_g_aig
ex274,1,ex274_square_hybrid_bddtop2_trunc_synth_preset_d16,985,42,41370,21630,1.912621,ex274_square_hybrid_bddtop2_trunc_synth_preset_d16
ex275,1,ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig,43,7,301,204,1.475490,ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig
ex276,1,ex276_isqrt_prefix4_ge_bitwise_synth_preset,101,10,1010,632,1.598101,ex276_isqrt_prefix4_ge_bitwise_synth_preset
ex277,1,ex277_isqrt_cofbdd4_reverse_synth_preset,237,12,2844,1980,1.436364,ex277_isqrt_cofbdd4_reverse_synth_preset
ex278,1,ex278_isqrt_prefix5_range_synth_preset,502,14,7028,5198,1.352058,ex278_isqrt_prefix5_range_synth_preset
ex279,1,ex279_isqrt_radix4_wires_synth_preset,334,42,14028,10952,1.280862,ex279_isqrt_radix4_wires_synth_preset
