case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,tool_chain,selection_reason,source_kind,source_csv,source_verilog_path,source_aig_path,notes
ex255,ex255_umul_wallace_bits_abc_g_aig,unsigned low4_high4:a*b,wallace_bits+abc_g_aig,student/seeds/integer/ex255_ex279_current/ex255/verilog/ex255_umul_wallace_bits_abc_g_aig.v,student/seeds/integer/ex255_ex279_current/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig.aig,1,1,87,13,1131,836,1.352871,1,0,semantic_mul_exact,,current_best,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig,student/seeds/integer/ex255_ex279_current/ex256/verilog/ex256_umul_csa_androws_cla_abc_g_aig.v,student/seeds/integer/ex255_ex279_current/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,1,1,159,18,2862,1911,1.497645,1,0,semantic_mul_exact,,current_best,run,student/runs/integer/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/results/candidates.csv,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex257,ex257_umul_csa_androws_cla_from3_synth_preset_d13,unsigned low6_high6:a*b,csa_androws_cla_from3+synth_preset_d13,student/seeds/integer/ex255_ex279_current/ex257/verilog/ex257_umul_csa_androws_cla_from3_synth_preset_d13.v,student/seeds/integer/ex255_ex279_current/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d13.aig,1,1,263,20,5260,3952,1.330972,1,0,semantic_mul_exact,,current_best,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/verilog/ex257_umul_csa_androws_cla_from3.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d13.aig,exact unsigned low6 * high6 over 4096 inputs; focused source=csa_androws_cla_from3; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_abc_g_aig,unsigned low7_high7:a*b,wallace_bits+abc_g_aig,student/seeds/integer/ex255_ex279_current/ex258/verilog/ex258_umul_wallace_bits_abc_g_aig.v,student/seeds/integer/ex255_ex279_current/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig.aig,1,1,351,25,8775,6289,1.395293,1,0,semantic_mul_exact,,current_best,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=wallace_bits; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_cla_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_cla+abc_g_aig,student/seeds/integer/ex255_ex279_current/ex259/verilog/ex259_umul_wallace_bits_cla_abc_g_aig.v,student/seeds/integer/ex255_ex279_current/ex259/aigs/ex259_umul_wallace_bits_cla_abc_g_aig.aig,1,1,480,28,13440,10000,1.344000,1,0,semantic_mul_exact,,current_best,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex259/verilog/ex259_umul_wallace_bits_cla.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex259/aigs/ex259_umul_wallace_bits_cla_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/seeds/integer/ex255_ex279_current/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.v,student/seeds/integer/ex255_ex279_current/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,88,13,1144,657,1.741248,0,0,semantic_signed_mul_exact,,current_best,run,student/runs/integer/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/results/candidates.csv,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/seeds/integer/ex255_ex279_current/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.v,student/seeds/integer/ex255_ex279_current/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,164,18,2952,2041,1.446350,1,0,semantic_signed_mul_exact,,current_best,run,student/runs/integer/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/results/candidates.csv,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex262,ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low6_high6:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/seeds/integer/ex255_ex279_current/ex262/verilog/ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig.v,student/seeds/integer/ex255_ex279_current/ex262/aigs/ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,252,22,5544,4900,1.131429,1,0,semantic_signed_mul_exact,,current_best,run,student/runs/integer/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/results/candidates.csv,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex262/verilog/ex262_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex262/aigs/ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low6 * signed high6 over 4096 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/seeds/integer/ex255_ex279_current/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.v,student/seeds/integer/ex255_ex279_current/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,362,24,8688,6840,1.270175,1,0,semantic_signed_mul_exact,,current_best,run,student/runs/integer/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/results/candidates.csv,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex264,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_rev_hcla6+abc_g_aig,student/seeds/integer/ex255_ex279_current/ex264/verilog/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.v,student/seeds/integer/ex255_ex279_current/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig,1,1,486,27,13122,9724,1.349445,1,0,semantic_signed_mul_exact,,current_best,run,student/runs/integer/ex260_ex264_frontend_smul_order_edge_start_20260609_0605/results/candidates.csv,student/work/ex260_ex264_frontend_smul_order_edge_start_20260609_0605/ex264/verilog/ex264_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_order_edge_start_20260609_0605/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig
ex265,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,unsigned low4_high4:a/b dbz=max,cof_bhi3_ahi1_bitbdd_wordmux+synth_preset,student/seeds/integer/ex255_ex279_current/ex265/verilog/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.v,student/seeds/integer/ex255_ex279_current/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.aig,1,1,63,8,504,322,1.565217,0,0,semantic_udiv_exact,,current_best,run,student/runs/integer/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/results/candidates.csv,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset
