case,candidate_id,status,area,delay,adp,expected_adp,aig_path,notes
ex255,ex255_umul_wallace_bits_abc_g_aig,OK,87,13,1131,1131,student/seeds/integer/ex255_ex279_current/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex256,ex256_umul_csa_androws_cla_abc_g_aig,OK,159,18,2862,2862,student/seeds/integer/ex255_ex279_current/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex257,ex257_umul_csa_androws_cla_from3_synth_preset_d13,OK,263,20,5260,5260,student/seeds/integer/ex255_ex279_current/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d13.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex258,ex258_umul_wallace_bits_abc_g_aig,OK,351,25,8775,8775,student/seeds/integer/ex255_ex279_current/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex259,ex259_umul_wallace_bits_cla_abc_g_aig,OK,480,28,13440,13440,student/seeds/integer/ex255_ex279_current/ex259/aigs/ex259_umul_wallace_bits_cla_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,OK,88,13,1144,1144,student/seeds/integer/ex255_ex279_current/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,OK,164,18,2952,2952,student/seeds/integer/ex255_ex279_current/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex262,ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig,OK,252,22,5544,5544,student/seeds/integer/ex255_ex279_current/ex262/aigs/ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,OK,362,24,8688,8688,student/seeds/integer/ex255_ex279_current/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex264,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,OK,486,27,13122,13122,student/seeds/integer/ex255_ex279_current/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
