case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex270,ex270_square_wallace_square_outside_synth_preset,unsigned_square_x_times_x,wallace_square_outside+synth_preset,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex270/aigs/ex270_square_wallace_square_outside_synth_preset.aig,183,20,3660,2076,1.763006,0,0,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=synth_preset
ex271,ex271_square_wallace_square_outside_hcla4_abc_g_aig_d16,unsigned_square_x_times_x,wallace_square_outside_hcla4+abc_g_aig_d16,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex271/verilog/ex271_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex271/aigs/ex271_square_wallace_square_outside_hcla4_abc_g_aig_d16.aig,317,29,9193,5542,1.658787,0,0,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla4; flow=abc_g_aig_d16
ex272,ex272_square_wallace_square_outside_hcla4_synth_preset,unsigned_square_x_times_x,wallace_square_outside_hcla4+synth_preset,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex272/verilog/ex272_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex272/aigs/ex272_square_wallace_square_outside_hcla4_synth_preset.aig,518,32,16576,10880,1.523529,0,0,square_specific_structural_rtl,exact unsigned 12-bit square x*x over 4096 inputs; source=wallace_square_outside_hcla4; flow=synth_preset
ex273,ex273_square_wallace_square_outside_hcla4_arith_wreduce_aig,unsigned_square_x_times_x,wallace_square_outside_hcla4+arith_wreduce_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex273/verilog/ex273_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex273/aigs/ex273_square_wallace_square_outside_hcla4_arith_wreduce_aig.aig,723,40,28920,15078,1.918026,0,0,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_hcla4; flow=arith_wreduce_aig
ex274,ex274_square_wallace_square_outside_hcla6_abc_g_aig_d16,unsigned_square_x_times_x,wallace_square_outside_hcla6+abc_g_aig_d16,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex274/verilog/ex274_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_delayflows/ex274/aigs/ex274_square_wallace_square_outside_hcla6_abc_g_aig_d16.aig,968,46,44528,21630,2.058622,0,0,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_hcla6; flow=abc_g_aig_d16
