case,domain,round3_candidates,round3_best_candidate,round3_best_adp,frontend_best_adp_now,reference_adp,frontend_ratio_to_reference,round3_improved_frontend,beats_reference,next_recommendation
ex200,bf16,1,ex200_selected_highbits_low12_hilo3_abc_g_aig,58425,54405,40052,1.358359,0,0,continue high-gap search
ex204,bf16,1,ex204_arithbase_delta_hilo4_add_abc_g_aig,78699,25670,15180,1.691041,0,0,continue high-gap search
ex205,bf16,1,ex205_log10_exp_runs_mant_sep_m4_abc_g_aig,87948,71104,47128,1.508742,0,0,continue high-gap search
ex223,fp16,1,ex223_selected_residual_low8_hi5_abc_g_aig,207860,204193,120549,1.693859,0,0,continue high-gap search
ex224,fp16,2,ex224_expclass_wordbdd_msb_abc_g_aig,125920,96224,64708,1.487050,0,0,continue high-gap search
ex225,fp16,2,ex225_mant0_base_xorres_low12_hi5_abc_g_aig,225183,218728,116676,1.874661,0,0,continue high-gap search
ex240,float_fp8,0,,,30090,13299,2.262576,0,0,continue high-gap search
ex241,float_fp8,1,ex241_mul_sns_shifted_quant_synth_preset_aig,53486,15544,7224,2.151717,0,0,continue high-gap search
ex242,float_fp8,0,,,25320,11900,2.127731,0,0,continue high-gap search
ex244,float_fp8,1,ex244_hypot_maxeff_delta_bitcofactor_synth_preset_aig,26455,10234,4272,2.395599,0,0,continue high-gap search
ex245,float_fp8,0,,,23834,11050,2.156923,0,0,continue high-gap search
ex246,float_fp8,1,ex246_mul_product_base_bitcofactor_subnormfix_synth_preset_aig,11670,7502,2805,2.674510,0,0,continue high-gap search
ex247,float_fp8,2,ex247_div_roundsat_expclass_lowpattern_synth_preset_aig,11594,9125,2975,3.067227,0,0,continue high-gap search
ex248,float_fp8,0,,,8550,4180,2.045455,0,0,continue high-gap search
ex249,float_fp8,2,ex249_hypot_sqscore_threshold_tree_synth_preset_aig,13207,4368,2079,2.101010,0,0,continue high-gap search
ex253,float_fp8,0,,,2268,1845,1.229268,0,0,continue high-gap search
ex256,integer,1,ex256_current_frontend_replay_yosys_abc_g_aig,2862,2844,1911,1.488226,0,0,continue high-gap search
ex260,integer,2,ex260_baugh_rev_hcla4_yosys_abc_g_and,1482,1144,657,1.741248,0,0,continue high-gap search
ex261,integer,0,,,2952,2041,1.446350,0,0,continue high-gap search
ex266,integer,1,ex266_udiv_prefix_subtract_sat_or_abc_g_and,2914,1480,848,1.745283,0,0,continue high-gap search
ex270,integer,1,ex270_square_trirow_csa_compact_abc_g_and,6350,3230,2076,1.555877,0,0,continue high-gap search
ex276,integer,1,ex276_isqrt_restoring_state_sub_abc_g_and,2475,1010,632,1.598101,0,0,continue high-gap search
ex277,integer,2,ex277_isqrt_restoring_state_sub_abc_g_and,5700,2844,1980,1.436364,0,0,continue high-gap search
ex280,unknown,1,ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,2990,2990,2415,1.238095,1,0,continue high-gap search
ex281,unknown,4,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,3328,3328,2336,1.424658,1,0,continue high-gap search
ex282,unknown,2,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,4032,4032,2704,1.491124,1,0,continue high-gap search
ex283,unknown,5,ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,4500,4500,3168,1.420455,1,0,continue high-gap search
ex284,unknown,4,ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,5440,5440,4240,1.283019,1,0,continue high-gap search
ex285,unknown,1,ex285_controlled_routing_symcof_f00_k4_case_global_abc_g_aig_d14,14434,13175,5499,2.395890,0,0,continue high-gap search
ex286,unknown,2,ex286_multipair_symcof_interleave_f00_k4_abc_g_aig_d14,21705,21705,2376,9.135101,0,0,continue high-gap search
ex287,unknown,1,ex287_multipair_symcof_interleave_f00_k5_extra_share_abc_g_aig_d14,27480,27480,5782,4.752681,0,0,continue high-gap search
ex288,unknown,1,ex288_keybdd_selected_controlled_routing_abc_g_aig,31598,31598,16394,1.927412,0,0,continue high-gap search
ex289,unknown,0,,,19893,13620,1.460573,0,0,continue high-gap search
ex290,unknown,0,,,61992,42328,1.464562,0,0,continue high-gap search
ex291,unknown,0,,,97545,66850,1.459162,0,0,continue high-gap search
ex292,unknown,0,,,142170,84854,1.675466,0,0,continue high-gap search
ex293,unknown,0,,,144972,112966,1.283324,0,0,continue high-gap search
ex294,unknown,2,ex294_r3_linearperm_rotr2_key_gray_natural_i8_abc_g_aig,833364,246698,133365,1.849796,0,0,continue high-gap search
ex295,unknown,2,ex295_r3_linearperm_bit_reverse_identity_outside_i6_abc_g_aig,157824,138448,68064,2.034086,0,0,continue high-gap search
ex296,unknown,0,,,143792,104025,1.382283,0,0,continue high-gap search
ex297,unknown,2,ex297_r3_linearperm_bit_reverse_identity_outside_i7_abc_g_aig,685650,583596,225900,2.583426,0,0,continue high-gap search
ex298,unknown,2,ex298_r3_linearperm_bit_reverse_identity_natural_i7_abc_g_aig,775971,645639,442296,1.459744,0,0,continue high-gap search
ex299,unknown,1,ex299_r3_cell_prefix_bridge_cofactorized_bdd_pair_outside_in_abc_g_aig,5295240,2604734,1013807,2.569260,0,0,continue high-gap search
