case,candidate_id,status,area,delay,adp,expected_adp,aig_path,notes
ex255,ex255_umul_wallace_bits_abc_g_aig,OK,87,13,1131,1131,student/new_seeds/integer/ex255_ex279_current/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex256,ex256_current_frontend_replay_post_dch,OK,158,18,2844,2844,student/new_seeds/integer/ex255_ex279_current/ex256/aigs/ex256_current_frontend_replay_post_dch.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex257,ex257_umul_csa_androws_cla_from3_synth_preset_d13,OK,263,20,5260,5260,student/new_seeds/integer/ex255_ex279_current/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d13.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex258,ex258_umul_wallace_bits_abc_g_aig,OK,351,25,8775,8775,student/new_seeds/integer/ex255_ex279_current/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex259,ex259_umul_wallace_bits_cla_abc_g_aig,OK,480,28,13440,13440,student/new_seeds/integer/ex255_ex279_current/ex259/aigs/ex259_umul_wallace_bits_cla_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex260,ex260_smul_bw4_center_rhcla2_abc_g_aig,OK,92,12,1104,1104,student/new_seeds/integer/ex255_ex279_current/ex260/aigs/ex260_smul_bw4_center_rhcla2_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex261,ex261_current_frontend_replay_post_dch,OK,164,18,2952,2952,student/new_seeds/integer/ex255_ex279_current/ex261/aigs/ex261_current_frontend_replay_post_dch.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex262,ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig,OK,252,22,5544,5544,student/new_seeds/integer/ex255_ex279_current/ex262/aigs/ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11,OK,362,24,8688,8688,student/new_seeds/integer/ex255_ex279_current/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex264,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,OK,486,27,13122,13122,student/new_seeds/integer/ex255_ex279_current/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex265,ex265_r6_range_bhi2_lut_abc_g_aig,OK,58,8,464,464,student/new_seeds/integer/ex255_ex279_current/ex265/aigs/ex265_r6_range_bhi2_lut_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18,OK,148,10,1480,1480,student/new_seeds/integer/ex255_ex279_current/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex267,ex267_r9_q54_formula_overlay,OK,331,12,3972,3972,student/new_seeds/integer/ex255_ex279_current/ex267/aigs/ex267_r9_q54_formula_overlay.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex268,ex268_udiv_denom_lz_range_direct_synth_preset,OK,199,53,10547,10547,student/new_seeds/integer/ex255_ex279_current/ex268/aigs/ex268_udiv_denom_lz_range_direct_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex269,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig,OK,380,41,15580,15580,student/new_seeds/integer/ex255_ex279_current/ex269/aigs/ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex270,ex270_r5_top3_threshold_recut_abc_g_aig,OK,204,15,3060,3060,student/new_seeds/integer/ex255_ex279_current/ex270/aigs/ex270_r5_top3_threshold_recut_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex271,ex271_square_wallace_square_outside_csel12_synth_preset_d16,OK,332,24,7968,7968,student/new_seeds/integer/ex255_ex279_current/ex271/aigs/ex271_square_wallace_square_outside_csel12_synth_preset_d16.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex272,ex272_square_wallace_square_outside_csel14_synth_preset_d20,OK,509,30,15270,15270,student/new_seeds/integer/ex255_ex279_current/ex272/aigs/ex272_square_wallace_square_outside_csel14_synth_preset_d20.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex273,ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig,OK,797,33,26301,26301,student/new_seeds/integer/ex255_ex279_current/ex273/aigs/ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
