case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex255,1,ex255_umul_wallace_bits_abc_g_aig,87,13,1131,836,1.352871,ex255_umul_wallace_bits_abc_g_aig,1,1,0,
ex256,1,ex256_current_frontend_replay_post_dch,158,18,2844,1911,1.488226,ex256_current_frontend_replay_post_dch,1,1,0,
ex257,1,ex257_umul_csa_androws_cla_from3_synth_preset_d13,263,20,5260,3952,1.330972,ex257_umul_csa_androws_cla_from3_synth_preset_d13,1,1,0,
ex258,1,ex258_umul_wallace_bits_abc_g_aig,351,25,8775,6289,1.395293,ex258_umul_wallace_bits_abc_g_aig,1,1,0,
ex259,1,ex259_umul_wallace_bits_cla_abc_g_aig,480,28,13440,10000,1.344000,ex259_umul_wallace_bits_cla_abc_g_aig,1,1,0,
ex260,1,ex260_smul_bw4_center_rhcla2_abc_g_aig,92,12,1104,657,1.680365,ex260_smul_bw4_center_rhcla2_abc_g_aig,1,1,0,
ex261,1,ex261_current_frontend_replay_post_dch,164,18,2952,2041,1.446350,ex261_current_frontend_replay_post_dch,1,1,0,
ex262,1,ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig,252,22,5544,4900,1.131429,ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,1,0,
ex263,1,ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11,362,24,8688,6840,1.270175,ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11,1,1,0,
ex264,1,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,486,27,13122,9724,1.349445,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,1,1,0,
ex265,1,ex265_r6_range_bhi2_lut_abc_g_aig,58,8,464,322,1.440994,ex265_r6_range_bhi2_lut_abc_g_aig,1,1,0,
ex266,1,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18,148,10,1480,848,1.745283,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18,1,1,0,
ex267,1,ex267_r9_q54_formula_overlay,331,12,3972,2651,1.498303,ex267_r9_q54_formula_overlay,1,1,0,
ex268,1,ex268_udiv_denom_lz_range_direct_synth_preset,199,53,10547,7446,1.416465,ex268_udiv_denom_lz_range_direct_synth_preset,1,1,0,
ex269,1,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig,380,41,15580,11760,1.324830,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig,1,1,0,
ex270,1,ex270_r5_top3_threshold_recut_abc_g_aig,204,15,3060,2076,1.473988,ex270_r5_top3_threshold_recut_abc_g_aig,1,1,0,
ex271,1,ex271_square_wallace_square_outside_csel12_synth_preset_d16,332,24,7968,5542,1.437748,ex271_square_wallace_square_outside_csel12_synth_preset_d16,1,1,0,
ex272,1,ex272_square_wallace_square_outside_csel14_synth_preset_d20,509,30,15270,10880,1.403493,ex272_square_wallace_square_outside_csel14_synth_preset_d20,1,1,0,
ex273,1,ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig,797,33,26301,15078,1.744329,ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig,1,1,0,
ex274,1,ex274_square_hybrid_bddtop2_trunc_synth_preset,985,42,41370,21630,1.912621,ex274_square_hybrid_bddtop2_trunc_synth_preset,1,1,0,
ex275,1,ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig,43,7,301,204,1.475490,ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig,1,1,0,
ex276,1,ex276_r4_prefix4_shared_ge_synth_preset_aig,101,10,1010,632,1.598101,ex276_r4_prefix4_shared_ge_synth_preset_aig,1,1,0,
ex277,1,ex277_isqrt_cofbdd4_reverse_synth_preset_d12,237,12,2844,1980,1.436364,ex277_isqrt_cofbdd4_reverse_synth_preset_d12,1,1,0,
ex278,1,ex278_isqrt_prefix5_range_synth_preset,502,14,7028,5198,1.352058,ex278_isqrt_prefix5_range_synth_preset,1,1,0,
ex279,1,ex279_isqrt_radix4_wires_synth_preset,334,42,14028,10952,1.280862,ex279_isqrt_radix4_wires_synth_preset,1,1,0,
