case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_bdd_b_lsb_default,unsigned low4_high4:a/b dbz=max,bdd_b_lsb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_b_lsb_default.aig,1,1,1,91,10,910,322,2.826087,0,0,0.205,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb; flow=default
ex265,ex265_udiv_bdd_b_lsb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_b_lsb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_b_lsb_abc_g_aig.aig,1,1,1,89,10,890,322,2.763975,0,0,0.203,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb; flow=abc_g_aig
ex265,ex265_udiv_bdd_b_lsb_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_b_lsb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_b_lsb_wreduce_abc_g_aig.aig,1,1,1,89,10,890,322,2.763975,0,0,0.207,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb; flow=wreduce_abc_g_aig
ex265,ex265_udiv_bdd_b_lsb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_b_lsb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_b_lsb_synth_preset.aig,1,1,1,89,11,979,322,3.040373,0,0,0.265,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb; flow=synth_preset
ex265,ex265_udiv_bdd_b_msb_default,unsigned low4_high4:a/b dbz=max,bdd_b_msb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_b_msb_default.aig,1,1,1,68,9,612,322,1.900621,0,0,0.196,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=default
ex265,ex265_udiv_bdd_b_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_b_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_b_msb_abc_g_aig.aig,1,1,1,66,8,528,322,1.639752,0,0,0.198,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_b_msb_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_b_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_b_msb_wreduce_abc_g_aig.aig,1,1,1,66,8,528,322,1.639752,0,0,0.212,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=wreduce_abc_g_aig
ex265,ex265_udiv_bdd_b_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_b_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_b_msb_synth_preset.aig,1,1,1,75,10,750,322,2.329193,0,0,0.263,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex265,ex265_udiv_bdd_interleave_msb_default,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_interleave_msb_default.aig,1,1,1,68,11,748,322,2.322981,0,0,0.197,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=default
ex265,ex265_udiv_bdd_interleave_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_interleave_msb_abc_g_aig.aig,1,1,1,68,10,680,322,2.111801,0,0,0.199,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_interleave_msb_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,68,10,680,322,2.111801,0,0,0.199,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=wreduce_abc_g_aig
