case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex265,ex265_udiv_bdd_a_msb_wreduce_abc_g_aig,1,76,9,684,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_a_msb_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_a_msb; flow=wreduce_abc_g_aig
ex265,ex265_udiv_bdd_a_msb_synth_preset,1,76,9,684,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_a_msb_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_a_msb; flow=synth_preset
ex266,ex266_udiv_bdd_b_lsb_default,1,252,15,3780,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_lsb_default.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb; flow=default
ex266,ex266_udiv_bdd_b_lsb_abc_g_aig,1,253,15,3795,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_lsb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb; flow=abc_g_aig
ex266,ex266_udiv_bdd_b_lsb_wreduce_abc_g_aig,1,253,15,3795,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_lsb_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_b_lsb_synth_preset,1,247,15,3705,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_lsb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb; flow=synth_preset
ex266,ex266_udiv_bdd_b_msb_default,1,172,14,2408,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_msb_default.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=default
ex266,ex266_udiv_bdd_b_msb_abc_g_aig,1,172,13,2236,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_b_msb_wreduce_abc_g_aig,1,172,13,2236,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_msb_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_b_msb_synth_preset,1,164,13,2132,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex266,ex266_udiv_bdd_interleave_msb_default,1,153,14,2142,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_interleave_msb_default.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=default
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig,1,152,14,2128,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
