case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,893,30,26790,2415,11.093168,17220,9570,0,prefix_parity_reduce_top4_first_phi_first,transform=prefix_parity_reduce; bound_bits=0:11:1:10; free_bits=2:3:4:5:6:7:8:9; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=163:164:167:167:173:166:167:170:170:173:170:173:176:179:176:168; old_group_bdd_nodes=2722; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=474; total_stage_bdd_nodes=485; hash=438bb622589b,unknown prefix-key AC decomposition Verilog seed
ex281,ex281_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,1068,35,37380,2336,16.001712,20592,16788,0,prefix_parity_reduce_top4_first_phi_first,transform=prefix_parity_reduce; bound_bits=0:12:1:11; free_bits=2:3:4:5:6:7:8:9:10; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=229:230:233:234:240:232:234:237:237:240:237:240:243:246:243:235; old_group_bdd_nodes=3790; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=561; total_stage_bdd_nodes=572; hash=affa8ade900f,unknown prefix-key AC decomposition Verilog seed
ex282,ex282_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,1237,37,45769,2704,16.926405,31512,14257,0,prefix_parity_reduce_top4_first_phi_first,transform=prefix_parity_reduce; bound_bits=0:13:1:12; free_bits=2:3:4:5:6:7:8:9:10:11; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=290:291:294:295:301:293:295:298:298:301:298:301:304:307:304:296; old_group_bdd_nodes=4766; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=642; total_stage_bdd_nodes=653; hash=bbb6fda188dc,unknown prefix-key AC decomposition Verilog seed
ex283,ex283_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,1437,40,57480,3168,18.143939,36256,21224,0,prefix_parity_reduce_top4_first_phi_first,transform=prefix_parity_reduce; bound_bits=0:14:1:13; free_bits=2:3:4:5:6:7:8:9:10:11:12; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=365:366:369:370:376:368:370:373:373:376:373:376:379:382:379:371; old_group_bdd_nodes=5966; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=737; total_stage_bdd_nodes=748; hash=59fa895c7526,unknown prefix-key AC decomposition Verilog seed
ex284,ex284_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,1614,42,67788,4240,15.987736,46908,20880,0,prefix_parity_reduce_top4_first_phi_first,transform=prefix_parity_reduce; bound_bits=0:15:1:14; free_bits=2:3:4:5:6:7:8:9:10:11:12:13; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=434:435:438:439:445:437:439:442:442:445:442:445:448:451:448:440; old_group_bdd_nodes=7070; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=826; total_stage_bdd_nodes=837; hash=b0fad7b5ce57,unknown prefix-key AC decomposition Verilog seed
