case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/verilog/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/aigs/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.aig,1,1,1,893,30,26790,0.948,transform=prefix_parity_reduce; bound_bits=0:11:1:10; free_bits=2:3:4:5:6:7:8:9; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=163:164:167:167:173:166:167:170:170:173:170:173:176:179:176:168; old_group_bdd_nodes=2722; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=474; total_stage_bdd_nodes=485; hash=438bb622589b,unknown prefix-key AC decomposition Verilog seed
ex280,ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/verilog/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/aigs/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.aig,1,1,1,1644,37,60828,1.198,transform=prefix_parity_reduce; bound_bits=0:11:1:10; free_bits=2:3:4:5:6:7:8:9; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=163:164:167:167:173:166:167:170:170:173:170:173:176:179:176:168; old_group_bdd_nodes=2722; phi_bdd_nodes=11; h_order=free_first; h_bdd_nodes=907; total_stage_bdd_nodes=918; hash=c317c7eec453,unknown prefix-key AC decomposition Verilog seed
ex280,ex280_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top5_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/verilog/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/aigs/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first.aig,1,1,1,1093,35,38255,1.004,transform=prefix_parity_reduce; bound_bits=0:11:1:10:2; free_bits=3:4:5:6:7:8:9; class_encoding=first; class_count=28; phi_width=5; group_bdd_nodes=77:84:84:86:125:119:121:121:91:97:91:94:126:126:126:123:124:121:124:117:95:95:92:95:126:116:126:126:102:106:102:98; old_group_bdd_nodes=3456; phi_bdd_nodes=29; h_order=phi_first; h_bdd_nodes=570; total_stage_bdd_nodes=599; hash=b7fe96db0506,unknown prefix-key AC decomposition Verilog seed
ex280,ex280_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top5_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/verilog/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/aigs/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first.aig,1,1,1,1328,45,59760,1.212,transform=prefix_parity_reduce; bound_bits=0:11:1:10:2; free_bits=3:4:5:6:7:8:9; class_encoding=first; class_count=28; phi_width=5; group_bdd_nodes=77:84:84:86:125:119:121:121:91:97:91:94:126:126:126:123:124:121:124:117:95:95:92:95:126:116:126:126:102:106:102:98; old_group_bdd_nodes=3456; phi_bdd_nodes=29; h_order=free_first; h_bdd_nodes=978; total_stage_bdd_nodes=1007; hash=1dcec5fcd9ed,unknown prefix-key AC decomposition Verilog seed
ex280,ex280_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top6_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/verilog/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/aigs/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first.aig,1,1,1,1293,36,46548,1.108,transform=prefix_parity_reduce; bound_bits=0:11:1:10:2:9; free_bits=3:4:5:6:7:8; class_encoding=first; class_count=50; phi_width=6; group_bdd_nodes=61:68:68:72:72:68:69:72:67:73:67:67:68:68:68:66:74:74:74:71:75:70:72:75:73:67:73:73:70:70:70:67:68:71:71:74:72:70:72:66:68:74:68:71:74:74:74:71:78:75:78:66:73:79:73:73:78:66:78:78:73:80:73:72; old_group_bdd_nodes=4573; phi_bdd_nodes=73; h_order=phi_first; h_bdd_nodes=664; total_stage_bdd_nodes=737; hash=b0f2bc978de2,unknown prefix-key AC decomposition Verilog seed
ex280,ex280_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top6_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/verilog/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/aigs/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first.aig,1,1,1,1360,46,62560,1.209,transform=prefix_parity_reduce; bound_bits=0:11:1:10:2:9; free_bits=3:4:5:6:7:8; class_encoding=first; class_count=50; phi_width=6; group_bdd_nodes=61:68:68:72:72:68:69:72:67:73:67:67:68:68:68:66:74:74:74:71:75:70:72:75:73:67:73:73:70:70:70:67:68:71:71:74:72:70:72:66:68:74:68:71:74:74:74:71:78:75:78:66:73:79:73:73:78:66:78:78:73:80:73:72; old_group_bdd_nodes=4573; phi_bdd_nodes=73; h_order=free_first; h_bdd_nodes=881; total_stage_bdd_nodes=954; hash=03071f3d36e9,unknown prefix-key AC decomposition Verilog seed
ex281,ex281_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/verilog/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/aigs/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.aig,1,1,1,1068,35,37380,1.626,transform=prefix_parity_reduce; bound_bits=0:12:1:11; free_bits=2:3:4:5:6:7:8:9:10; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=229:230:233:234:240:232:234:237:237:240:237:240:243:246:243:235; old_group_bdd_nodes=3790; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=561; total_stage_bdd_nodes=572; hash=affa8ade900f,unknown prefix-key AC decomposition Verilog seed
ex281,ex281_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/verilog/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/aigs/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.aig,1,1,1,2253,37,83361,2.024,transform=prefix_parity_reduce; bound_bits=0:12:1:11; free_bits=2:3:4:5:6:7:8:9:10; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=229:230:233:234:240:232:234:237:237:240:237:240:243:246:243:235; old_group_bdd_nodes=3790; phi_bdd_nodes=11; h_order=free_first; h_bdd_nodes=1278; total_stage_bdd_nodes=1289; hash=0caa38549f92,unknown prefix-key AC decomposition Verilog seed
ex281,ex281_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top5_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/verilog/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/aigs/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first.aig,1,1,1,1269,37,46953,1.695,transform=prefix_parity_reduce; bound_bits=0:12:1:11:2; free_bits=3:4:5:6:7:8:9:10; class_encoding=first; class_count=28; phi_width=5; group_bdd_nodes=126:133:133:138:186:181:182:182:141:149:141:144:189:189:189:184:185:182:185:179:145:142:142:145:188:179:188:188:150:154:150:149; old_group_bdd_nodes=5238; phi_bdd_nodes=29; h_order=phi_first; h_bdd_nodes=667; total_stage_bdd_nodes=696; hash=02c4afa2a2d5,unknown prefix-key AC decomposition Verilog seed
ex281,ex281_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top5_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/verilog/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/aigs/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first.aig,1,1,1,2301,40,92040,2.135,transform=prefix_parity_reduce; bound_bits=0:12:1:11:2; free_bits=3:4:5:6:7:8:9:10; class_encoding=first; class_count=28; phi_width=5; group_bdd_nodes=126:133:133:138:186:181:182:182:141:149:141:144:189:189:189:184:185:182:185:179:145:142:142:145:188:179:188:188:150:154:150:149; old_group_bdd_nodes=5238; phi_bdd_nodes=29; h_order=free_first; h_bdd_nodes=1405; total_stage_bdd_nodes=1434; hash=eb62d793ff9a,unknown prefix-key AC decomposition Verilog seed
ex281,ex281_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top6_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/verilog/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/aigs/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first.aig,1,1,1,1505,40,60200,1.829,transform=prefix_parity_reduce; bound_bits=0:12:1:11:2:10; free_bits=3:4:5:6:7:8:9; class_encoding=first; class_count=50; phi_width=6; group_bdd_nodes=107:115:115:118:118:115:115:118:115:118:115:115:116:116:116:111:120:120:120:117:121:116:118:121:120:114:120:120:117:117:117:114:116:119:119:125:120:121:120:114:116:125:116:119:125:125:125:119:124:121:124:116:122:124:122:122:124:116:124:124:117:125:117:121; old_group_bdd_nodes=7602; phi_bdd_nodes=73; h_order=phi_first; h_bdd_nodes=771; total_stage_bdd_nodes=844; hash=c0d62f376b1f,unknown prefix-key AC decomposition Verilog seed
