case,domain,agent_id,frontend_best_adp,reference_adp,ratio_to_reference,frontend_best_run,candidate_id,method_signature,case_doc
ex286,unknown,routing-r9,20190,2376,8.497475,ex286_frontend_symcof_bitset_probe_20260612_1820,ex286_unknown_symcof_interleave_f00_bits_0_12_1_10_onehot_group_abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|explicit_outer_bitset_symcof_f00_bits_0_12_1_10|multi_pair_orand_key_classonehot|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_class_mux,student/cases/ex280_ex299_unknown/ex286/frontend_attempts.md
ex287,unknown,routing-r9,27480,5782,4.752681,ex287_frontend_multipair_symcof_synthflow_20260609_0634,ex287_interleave_f00_k5_abc_g_aig,ex287|frontend|frontend_multipair_symcof_synthflow,student/cases/ex280_ex299_unknown/ex287/frontend_attempts.md
ex247,float_fp8,fp8-core-r9,8349,2975,2.806387,ex200_ex299_frontend_refgap_round8_20260612_1826,ex247_round5_bound_region_mux_abc_g_aig,ex247|E5M2FN packed low-over-high division with boundary-first region mux|round5 boundary-region mux copied into shard for materially different synth-flow checks|shared sign exponent significand decode plus denominator-nested boundary attributes|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|region-grouped_magnitude_output,student/cases/ex240_ex254_float_conversion_fp8_add/ex247/frontend_attempts.md
ex246,float_fp8,fp8-core-r9,7502,2805,2.674510,ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,ex246|frontend|frontend_fp8_e5m2_dc_neighbor12,student/cases/ex240_ex254_float_conversion_fp8_add/ex246/frontend_attempts.md
ex297,unknown,state-r9,583596,225900,2.583426,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,ex297_low_split_default_abc_g_aig,ex297|frontend|frontend_current_synthflow,student/cases/ex280_ex299_unknown/ex297/frontend_attempts.md
ex299,unknown,state-r9,2604734,1013807,2.569260,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,ex299_high_split_default_abc_g_aig,ex299|frontend|frontend_current_synthflow,student/cases/ex280_ex299_unknown/ex299/frontend_attempts.md
ex285,unknown,state-r9,13175,5499,2.395890,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,ex285_decision_tree_greedy_synth_preset,ex285|frontend|frontend_current_synthflow,student/cases/ex280_ex299_unknown/ex285/frontend_attempts.md
ex244,float_fp8,fp8-wide-r9,10234,4272,2.395599,ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,ex244|frontend|frontend_fp8_magbdd_deltaeff,student/cases/ex240_ex254_float_conversion_fp8_add/ex244/frontend_attempts.md
ex240,float_fp8,fp8-wide-r9,30090,13299,2.262576,ex240_frontend_fp8_diff_grs_20260608_1401,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig,ex240|frontend|frontend_fp8_diff_grs,student/cases/ex240_ex254_float_conversion_fp8_add/ex240/frontend_attempts.md
ex245,float_fp8,fp8-wide-r9,23834,11050,2.156923,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,ex245_semantic_add_gap_class_synth_preset_aig,ex245|frontend|frontend_fp8_e5m2_curated,student/cases/ex240_ex254_float_conversion_fp8_add/ex245/frontend_attempts.md
