case,output_bit,order_name,input_width,output_width,selected_features,key_width,mapped_keys,on_keys,off_keys,cube_count,literal_count,max_cube_free_bits,avg_literals_per_cube
ex287,3,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,425,3460,11,8.141
ex287,4,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3363,3549,443,3649,12,8.237
ex287,4,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3363,3549,455,3909,10,8.591
ex287,4,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3363,3549,462,3826,12,8.281
ex287,5,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3389,3523,458,3776,12,8.245
ex287,5,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3389,3523,449,3849,10,8.572
ex287,5,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3389,3523,456,3767,12,8.261
ex287,6,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,349,2747,12,7.871
ex287,6,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,305,2408,11,7.895
ex287,6,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,307,2389,12,7.782
ex287,7,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,349,2747,12,7.871
ex287,7,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,305,2408,11,7.895
ex287,7,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,307,2389,12,7.782
ex287,8,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3531,3381,444,3586,12,8.077
ex287,8,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3531,3381,426,3599,10,8.448
ex287,8,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3531,3381,455,3697,12,8.125
ex287,9,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3514,3398,464,3783,12,8.153
ex287,9,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3514,3398,433,3674,10,8.485
ex287,9,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3514,3398,467,3804,12,8.146
ex287,10,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,417,3334,11,7.995
ex287,10,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,390,3246,10,8.323
ex287,10,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,423,3401,11,8.040
ex287,11,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,406,3265,11,8.042
ex287,11,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,397,3326,10,8.378
ex287,11,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,420,3404,11,8.105
ex287,12,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3549,3363,459,3715,12,8.094
ex287,12,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3549,3363,453,3863,10,8.528
ex287,12,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3549,3363,481,3956,12,8.225
ex287,13,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3523,3389,472,3857,12,8.172
ex287,13,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3523,3389,440,3753,10,8.530
ex287,13,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3523,3389,465,3815,12,8.204
ex288,0,lsb,15,15,raw13:raw10:xor6_7,16,13824,6811,7013,770,6745,10,8.760
ex288,0,msb,15,15,raw13:raw10:xor6_7,16,13824,6811,7013,725,6665,10,9.193
ex288,0,middle,15,15,raw13:raw10:xor6_7,16,13824,6811,7013,739,6526,10,8.831
ex288,1,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,669,5774,11,8.631
ex288,1,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,656,5928,11,9.037
ex288,1,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,649,5660,11,8.721
ex288,2,lsb,15,15,raw13:raw10:xor6_7,16,13824,6814,7010,745,6476,10,8.693
ex288,2,msb,15,15,raw13:raw10:xor6_7,16,13824,6814,7010,714,6513,10,9.122
ex288,2,middle,15,15,raw13:raw10:xor6_7,16,13824,6814,7010,718,6302,10,8.777
ex288,3,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,596,4995,11,8.381
ex288,3,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,586,5151,11,8.790
ex288,3,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,580,4938,11,8.514
ex288,4,lsb,15,15,raw13:raw10:xor6_7,16,13824,6823,7001,760,6652,10,8.753
ex288,4,msb,15,15,raw13:raw10:xor6_7,16,13824,6823,7001,719,6569,10,9.136
ex288,4,middle,15,15,raw13:raw10:xor6_7,16,13824,6823,7001,724,6387,10,8.822
ex288,5,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,666,5751,11,8.635
ex288,5,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,634,5757,11,9.080
ex288,5,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,638,5584,11,8.752
ex288,6,lsb,15,15,raw13:raw10:xor6_7,16,13824,6829,6995,740,6455,10,8.723
ex288,6,msb,15,15,raw13:raw10:xor6_7,16,13824,6829,6995,709,6476,10,9.134
ex288,6,middle,15,15,raw13:raw10:xor6_7,16,13824,6829,6995,728,6403,10,8.795
ex288,7,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,134,860,12,6.418
ex288,7,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,120,786,12,6.550
ex288,7,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,128,822,12,6.422
