case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex223,ex223_fp16_log_sign_exp_mant_attr_all,fp16_log,sign_exp_mant_attr_all,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/verilog/ex223_fp16_log_sign_exp_mant_attr_all.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/aigs/ex223_fp16_log_sign_exp_mant_attr_all.aig,1,1,11164,23,256772,120549,2.130022,0,0,structural_exact,case attribute source variant; 31777; attr_mode=all,1,256772,0,
ex224,ex224_fp16_log2_sign_exp_mant_attr_all,fp16_log2,sign_exp_mant_attr_all,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/verilog/ex224_fp16_log2_sign_exp_mant_attr_all.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/aigs/ex224_fp16_log2_sign_exp_mant_attr_all.aig,1,1,6332,21,132972,64708,2.054955,0,0,structural_exact,case attribute source variant; 31777; attr_mode=all,1,132972,0,
