case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,old_best_adp,improvement_vs_old_best,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,notes
ex210,ex210_bf16_sigmoid_const_default_3f80_h3,bf16_sigmoid,sigmoid,const_default_3f80_h3,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex210/verilog/ex210_bf16_sigmoid_const_default_3f80_h3.v,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex210/aigs/ex210_bf16_sigmoid_const_default_3f80_h3.aig,1,1,2232,15,33480,37872,0.115970,27053,1.237571,1,0,DAZ sigmoid BF16 RNE/canonical-NaN model exact over 65536 inputs; constant default 16'h3f80 exceptions hi_bits=3 default_mode=mode items=1733
ex211,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,bf16_reciprocal,reciprocal,hand_recip_formula_signmag_lut,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex211/verilog/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.v,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex211/aigs/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.aig,1,1,273,11,3003,3025,0.007273,2136,1.405899,1,0,semantic model exact over 65536 inputs; hand semantic reciprocal: special cases + 128-entry mantissa LUT items=128; sign/magnitude output mux rewrite
ex212,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,bf16_square,square,delta_pair_mode_hilo4_bits_15_bh1,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex212/verilog/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.v,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex212/aigs/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.aig,1,1,281,11,3091,3498,0.116352,2304,1.341580,1,0,semantic model exact over 65536 inputs; delta pair base_policy=mode delta_mode=hilo4 items=16529; output bit overrides bits=15 bit_hi_bits=1 bit_items=0
ex213,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,bf16_sqrt,sqrt,sep_fields_e2_m3_s3_bits_1_bh1,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex213/verilog/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.v,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex213/aigs/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.aig,1,1,346,11,3806,4394,0.133819,2900,1.312414,1,0,semantic model exact over 65536 inputs; separate fields exp_hi=2 mant_hi=3 sign_hi=3 items=29859; sep bit overrides bits=1 bit_hi_bits=1 bit_items=15875
ex214,ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix,bf16_reciprocal_square,reciprocal_square,legacy_default_expr_exception_case_bits_13_cmp_fix,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex214/verilog/ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix.v,student/work/ex210_ex214_frontend_bf16_semantic_20260606_1315/ex214/aigs/ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix.aig,1,1,337,11,3707,3816,0.028564,2424,1.529290,0,0,semantic model exact over 65536 inputs; legacy bf16_verilog_search default_expr_exception_case; exceptions=48896; default=zero; matches=16640; selected bit overrides bits=13 bit_hi_bits=cmp bit_items=36
