case,candidate_id,status,area,delay,adp,official_area,official_delay,official_adp,match,replay_aig,notes
ex292,ex292_primary_0_1_2_3_4_5_6_synth_preset,OK,8734,20,174680,8734,20,174680,1,student/runs/unknown/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/results/official_replay/ex292.aig,official evaluate.py replay on run-local output directory
ex294,ex294_primary_6_7_12_13_abc_g_aig,OK,14060,21,295260,14060,21,295260,1,student/runs/unknown/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/results/official_replay/ex294.aig,official evaluate.py replay on run-local output directory
