case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex292,ex292_primary_0_1_2_3_4_5_6_synth_preset,unknown_bit_hybrid,synth_preset,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_0_1_2_3_4_5_6.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/synthflow/ex292/aigs/ex292_primary_0_1_2_3_4_5_6_synth_preset.aig,8734,20,174680,Yosys synth preset with flatten,Yosys synth preset with flatten
ex294,ex294_primary_6_7_12_13_abc_g_aig,unknown_bit_hybrid,abc_g_aig,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_6_7_12_13.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/synthflow/ex294/aigs/ex294_primary_6_7_12_13_abc_g_aig.aig,14060,21,295260,Yosys abc gate set aig,Yosys abc gate set aig
