case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex292,ex292_unknown_bit_hybrid_primary_4_5_6_7_8,unknown_bit_hybrid,primary_4_5_6_7_8,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_4_5_6_7_8.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_4_5_6_7_8.aig,1,1,1,8926,23,205298,84854,2.419426,0,0,structural_exact,primary_bits=4:5:6:7:8; secondary_bits=0:1:2:3:9:10:11:12:13; hash=38f576b6b71f,12.125,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_3_4_5_6_7_8_9,unknown_bit_hybrid,primary_3_4_5_6_7_8_9,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_3_4_5_6_7_8_9.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_3_4_5_6_7_8_9.aig,1,1,1,9246,20,184920,84854,2.179273,0,0,structural_exact,primary_bits=3:4:5:6:7:8:9; secondary_bits=0:1:2:10:11:12:13; hash=e0e81d0fe30c,12.373,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_5_6_7_8,unknown_bit_hybrid,primary_5_6_7_8,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_5_6_7_8.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_5_6_7_8.aig,1,1,1,8646,21,181566,84854,2.139746,0,0,structural_exact,primary_bits=5:6:7:8; secondary_bits=0:1:2:3:4:9:10:11:12:13; hash=b3518993e679,12.032,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_4_5_6_7_8_9_10_11,unknown_bit_hybrid,primary_4_5_6_7_8_9_10_11,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_4_5_6_7_8_9_10_11.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_4_5_6_7_8_9_10_11.aig,1,1,1,9228,20,184560,84854,2.175030,0,0,structural_exact,primary_bits=4:5:6:7:8:9:10:11; secondary_bits=0:1:2:3:12:13; hash=69e0c7f5373d,11.986,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_0_1_2_3_4_5_6,unknown_bit_hybrid,primary_0_1_2_3_4_5_6,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_0_1_2_3_4_5_6.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_0_1_2_3_4_5_6.aig,1,1,1,8994,20,179880,84854,2.119876,0,0,structural_exact,primary_bits=0:1:2:3:4:5:6; secondary_bits=7:8:9:10:11:12:13; hash=20759a135f15,11.766,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_7_8_9_10_11_12_13,unknown_bit_hybrid,primary_7_8_9_10_11_12_13,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_7_8_9_10_11_12_13.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_7_8_9_10_11_12_13.aig,1,1,1,8784,21,184464,84854,2.173899,0,0,structural_exact,primary_bits=7:8:9:10:11:12:13; secondary_bits=0:1:2:3:4:5:6; hash=4b23164749a5,11.843,bit-hybrid of two verified exact Verilog sources
ex294,ex294_unknown_bit_hybrid_primary_1_2_6_7_12_13,unknown_bit_hybrid,primary_1_2_6_7_12_13,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_1_2_6_7_12_13.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_1_2_6_7_12_13.aig,1,1,1,15468,22,340296,133365,2.551614,0,0,structural_exact,primary_bits=1:2:6:7:12:13; secondary_bits=0:3:4:5:8:9:10:11:14:15; hash=cc520646fe3a,44.196,bit-hybrid of two verified exact Verilog sources
ex294,ex294_unknown_bit_hybrid_primary_6_7_12_13,unknown_bit_hybrid,primary_6_7_12_13,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_6_7_12_13.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_6_7_12_13.aig,1,1,1,14201,22,312422,133365,2.342609,0,0,structural_exact,primary_bits=6:7:12:13; secondary_bits=0:1:2:3:4:5:8:9:10:11:14:15; hash=8394fc1e594e,42.173,bit-hybrid of two verified exact Verilog sources
ex294,ex294_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7,unknown_bit_hybrid,primary_0_1_2_3_4_5_6_7,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7.aig,1,1,1,16328,24,391872,133365,2.938342,0,0,structural_exact,primary_bits=0:1:2:3:4:5:6:7; secondary_bits=8:9:10:11:12:13:14:15; hash=24921a3abb98,44.616,bit-hybrid of two verified exact Verilog sources
ex294,ex294_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_15,unknown_bit_hybrid,primary_8_9_10_11_12_13_14_15,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_15.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_15.aig,1,1,1,16293,23,374739,133365,2.809875,0,0,structural_exact,primary_bits=8:9:10:11:12:13:14:15; secondary_bits=0:1:2:3:4:5:6:7; hash=31417c4d9fdb,43.865,bit-hybrid of two verified exact Verilog sources
