case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_threshold_xor_wreduce_abc_g_aig,unsigned_floor_isqrt,threshold_xor+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.253,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_threshold_xor_arith_wreduce_aig,unsigned_floor_isqrt,threshold_xor+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_arith_wreduce_aig.aig,1,1,1,54,9,486,204,2.382353,0,0,0.277,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=arith_wreduce_aig
ex275,ex275_isqrt_threshold_xor_synth_preset,unsigned_floor_isqrt,threshold_xor+synth_preset,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_synth_preset.aig,1,1,1,48,10,480,204,2.352941,0,0,0.314,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=synth_preset
ex275,ex275_isqrt_threshold_xor_synth_preset_d6,unsigned_floor_isqrt,threshold_xor+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_synth_preset_d6.aig,1,1,1,48,10,480,204,2.352941,0,0,0.294,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=synth_preset_d6
ex275,ex275_isqrt_threshold_xor_synth_preset_d8,unsigned_floor_isqrt,threshold_xor+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_synth_preset_d8.aig,1,1,1,48,10,480,204,2.352941,0,0,0.303,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=synth_preset_d8
ex275,ex275_isqrt_threshold_xor_synth_preset_d10,unsigned_floor_isqrt,threshold_xor+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_synth_preset_d10.aig,1,1,1,48,10,480,204,2.352941,0,0,0.299,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=synth_preset_d10
ex275,ex275_isqrt_threshold_xor_abc_g_aig_d6,unsigned_floor_isqrt,threshold_xor+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_abc_g_aig_d6.aig,1,1,1,50,8,400,204,1.960784,0,0,0.253,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=abc_g_aig_d6
ex275,ex275_isqrt_threshold_xor_abc_g_aig_d8,unsigned_floor_isqrt,threshold_xor+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_abc_g_aig_d8.aig,1,1,1,50,8,400,204,1.960784,0,0,0.246,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=abc_g_aig_d8
ex275,ex275_isqrt_threshold_xor_abc_g_aig_d10,unsigned_floor_isqrt,threshold_xor+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_abc_g_aig_d10.aig,1,1,1,50,8,400,204,1.960784,0,0,0.243,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=abc_g_aig_d10
ex275,ex275_isqrt_bdd_outside_abc_g_aig,unsigned_floor_isqrt,bdd_outside+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.203,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_outside+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.195,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_outside_arith_wreduce_aig,unsigned_floor_isqrt,bdd_outside+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_arith_wreduce_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.195,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,1,1,1,42,8,336,204,1.647059,0,0,0.252,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex275,ex275_isqrt_bdd_outside_synth_preset_d6,unsigned_floor_isqrt,bdd_outside+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d6.aig,1,1,1,42,8,336,204,1.647059,0,0,0.252,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_outside_synth_preset_d8,unsigned_floor_isqrt,bdd_outside+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d8.aig,1,1,1,42,8,336,204,1.647059,0,0,0.255,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_outside_synth_preset_d10,unsigned_floor_isqrt,bdd_outside+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d10.aig,1,1,1,42,8,336,204,1.647059,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_outside_abc_g_aig_d6,unsigned_floor_isqrt,bdd_outside+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig_d6.aig,1,1,1,53,8,424,204,2.078431,0,0,0.194,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig_d6
ex275,ex275_isqrt_bdd_outside_abc_g_aig_d8,unsigned_floor_isqrt,bdd_outside+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig_d8.aig,1,1,1,53,8,424,204,2.078431,0,0,0.195,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig_d8
ex275,ex275_isqrt_bdd_outside_abc_g_aig_d10,unsigned_floor_isqrt,bdd_outside+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig_d10.aig,1,1,1,53,8,424,204,2.078431,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig_d10
ex275,ex275_isqrt_bdd_swapmsb_abc_g_aig,unsigned_floor_isqrt,bdd_swapmsb+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_abc_g_aig.aig,1,1,1,50,9,450,204,2.205882,0,0,0.191,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=abc_g_aig
ex275,ex275_isqrt_bdd_swapmsb_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_swapmsb+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_wreduce_abc_g_aig.aig,1,1,1,50,9,450,204,2.205882,0,0,0.194,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_swapmsb_arith_wreduce_aig,unsigned_floor_isqrt,bdd_swapmsb+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_arith_wreduce_aig.aig,1,1,1,50,9,450,204,2.205882,0,0,0.205,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_swapmsb_synth_preset,unsigned_floor_isqrt,bdd_swapmsb+synth_preset,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_synth_preset.aig,1,1,1,46,9,414,204,2.029412,0,0,0.251,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=synth_preset
ex275,ex275_isqrt_bdd_swapmsb_synth_preset_d6,unsigned_floor_isqrt,bdd_swapmsb+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_synth_preset_d6.aig,1,1,1,46,9,414,204,2.029412,0,0,0.254,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_swapmsb_synth_preset_d8,unsigned_floor_isqrt,bdd_swapmsb+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_synth_preset_d8.aig,1,1,1,46,9,414,204,2.029412,0,0,0.252,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_swapmsb_synth_preset_d10,unsigned_floor_isqrt,bdd_swapmsb+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_synth_preset_d10.aig,1,1,1,46,9,414,204,2.029412,0,0,0.253,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_swapmsb_abc_g_aig_d6,unsigned_floor_isqrt,bdd_swapmsb+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_abc_g_aig_d6.aig,1,1,1,50,9,450,204,2.205882,0,0,0.190,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=abc_g_aig_d6
ex275,ex275_isqrt_bdd_swapmsb_abc_g_aig_d8,unsigned_floor_isqrt,bdd_swapmsb+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_abc_g_aig_d8.aig,1,1,1,50,9,450,204,2.205882,0,0,0.189,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=abc_g_aig_d8
ex275,ex275_isqrt_bdd_swapmsb_abc_g_aig_d10,unsigned_floor_isqrt,bdd_swapmsb+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_abc_g_aig_d10.aig,1,1,1,50,9,450,204,2.205882,0,0,0.190,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=abc_g_aig_d10
ex275,ex275_isqrt_cofbdd3_reverse_abc_g_aig,unsigned_floor_isqrt,cofbdd3_reverse+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_cofbdd3_reverse.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_cofbdd3_reverse_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.210,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd3_reverse; flow=abc_g_aig
ex275,ex275_isqrt_cofbdd3_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,cofbdd3_reverse+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_cofbdd3_reverse.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_cofbdd3_reverse_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.216,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd3_reverse; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_cofbdd3_reverse_arith_wreduce_aig,unsigned_floor_isqrt,cofbdd3_reverse+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_cofbdd3_reverse.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_cofbdd3_reverse_arith_wreduce_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.212,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd3_reverse; flow=arith_wreduce_aig
ex275,ex275_isqrt_cofbdd3_reverse_synth_preset,unsigned_floor_isqrt,cofbdd3_reverse+synth_preset,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_cofbdd3_reverse.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_cofbdd3_reverse_synth_preset.aig,1,1,1,47,9,423,204,2.073529,0,0,0.270,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd3_reverse; flow=synth_preset
ex275,ex275_isqrt_cofbdd3_reverse_synth_preset_d6,unsigned_floor_isqrt,cofbdd3_reverse+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_cofbdd3_reverse.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_cofbdd3_reverse_synth_preset_d6.aig,1,1,1,47,9,423,204,2.073529,0,0,0.270,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd3_reverse; flow=synth_preset_d6
ex275,ex275_isqrt_cofbdd3_reverse_synth_preset_d8,unsigned_floor_isqrt,cofbdd3_reverse+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_cofbdd3_reverse.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_cofbdd3_reverse_synth_preset_d8.aig,1,1,1,47,9,423,204,2.073529,0,0,0.275,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd3_reverse; flow=synth_preset_d8
ex275,ex275_isqrt_cofbdd3_reverse_synth_preset_d10,unsigned_floor_isqrt,cofbdd3_reverse+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_cofbdd3_reverse.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_cofbdd3_reverse_synth_preset_d10.aig,1,1,1,47,9,423,204,2.073529,0,0,0.271,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd3_reverse; flow=synth_preset_d10
ex275,ex275_isqrt_cofbdd3_reverse_abc_g_aig_d6,unsigned_floor_isqrt,cofbdd3_reverse+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_cofbdd3_reverse.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_cofbdd3_reverse_abc_g_aig_d6.aig,1,1,1,50,8,400,204,1.960784,0,0,0.208,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd3_reverse; flow=abc_g_aig_d6
