case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex280,ex280_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex280/aigs/ex280_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_abc_g_aig.aig,1,1,1,726,25,18150,2415,7.515528,0,0,synthflow_exact,Yosys abc gate set aig,1.016,Yosys abc gate set aig,1,18150,0,
ex280,ex280_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex280/aigs/ex280_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_synth_preset.aig,1,1,1,732,25,18300,2415,7.577640,0,0,synthflow_exact,Yosys synth preset with flatten,1.314,Yosys synth preset with flatten,1,18300,0,
ex281,ex281_prefix_parity_reduce_top6_first_classonehottree_endpoint_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex281/aigs/ex281_prefix_parity_reduce_top6_first_classonehottree_endpoint_abc_g_aig.aig,1,1,1,854,27,23058,2336,9.870719,0,0,synthflow_exact,Yosys abc gate set aig,1.398,Yosys abc gate set aig,1,23058,0,
ex281,ex281_prefix_parity_reduce_top6_first_classonehottree_endpoint_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex281/aigs/ex281_prefix_parity_reduce_top6_first_classonehottree_endpoint_synth_preset.aig,1,1,1,834,32,26688,2336,11.424658,0,0,synthflow_exact,Yosys synth preset with flatten,1.785,Yosys synth preset with flatten,1,26688,0,
ex282,ex282_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex282/aigs/ex282_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_abc_g_aig.aig,1,1,1,983,30,29490,2704,10.906065,0,0,synthflow_exact,Yosys abc gate set aig,2.002,Yosys abc gate set aig,1,29490,0,
ex282,ex282_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex282/aigs/ex282_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_synth_preset.aig,1,1,1,929,40,37160,2704,13.742604,0,0,synthflow_exact,Yosys synth preset with flatten,2.573,Yosys synth preset with flatten,1,37160,0,
ex283,ex283_prefix_parity_reduce_top6_first_classonehottree_endpoint_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex283/aigs/ex283_prefix_parity_reduce_top6_first_classonehottree_endpoint_abc_g_aig.aig,1,1,1,1092,32,34944,3168,11.030303,0,0,synthflow_exact,Yosys abc gate set aig,2.828,Yosys abc gate set aig,1,34944,0,
ex283,ex283_prefix_parity_reduce_top6_first_classonehottree_endpoint_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex283/aigs/ex283_prefix_parity_reduce_top6_first_classonehottree_endpoint_synth_preset.aig,1,1,1,1062,37,39294,3168,12.403409,0,0,synthflow_exact,Yosys synth preset with flatten,3.531,Yosys synth preset with flatten,1,39294,0,
ex284,ex284_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex284/aigs/ex284_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_abc_g_aig.aig,1,1,1,1249,36,44964,4240,10.604717,0,0,synthflow_exact,Yosys abc gate set aig,4.230,Yosys abc gate set aig,1,44964,0,
ex284,ex284_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_20260608_2100/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehottree_synthflow_20260608_2058/ex284/aigs/ex284_prefix_parity_reduce_top6_first_classonehottree_endpoint_rev_synth_preset.aig,1,1,1,1244,40,49760,4240,11.735849,0,0,synthflow_exact,Yosys synth preset with flatten,5.082,Yosys synth preset with flatten,1,49760,0,
