case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop2_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_abc_g_aig.aig,1,1,1,739,36,26604,15078,1.764425,0,0,0.754,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_wreduce_abc_g_aig.aig,1,1,1,736,36,26496,15078,1.757262,0,0,0.780,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_synth_preset.aig,1,1,1,735,36,26460,15078,1.754875,0,0,0.963,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc; flow=synth_preset
ex273,ex273_square_hybrid_bddtop3_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop3_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_abc_g_aig.aig,1,1,1,763,36,27468,15078,1.821727,0,0,0.767,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop3_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_wreduce_abc_g_aig.aig,1,1,1,762,35,26670,15078,1.768802,0,0,0.789,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_trunc+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop3_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_synth_preset.aig,1,1,1,761,35,26635,15078,1.766481,0,0,0.964,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_abc_g_aig.aig,1,1,1,800,36,28800,15078,1.910068,0,0,0.759,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_wreduce_abc_g_aig.aig,1,1,1,803,36,28908,15078,1.917230,0,0,0.830,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_trunc+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_synth_preset.aig,1,1,1,794,34,26996,15078,1.790423,0,0,1.016,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop2.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop2_abc_g_aig.aig,1,1,1,738,36,26568,15078,1.762037,0,0,0.799,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop2.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop2_wreduce_abc_g_aig.aig,1,1,1,740,37,27380,15078,1.815891,0,0,0.797,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2; flow=wreduce_abc_g_aig
