case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex223,ex223_fp16_log_casez_sign_abc_d20,fp16_log,abc_d20,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_abc_d20.aig,1,1,1,11189,22,246158,120549,2.041975,0,0,synthflow_exact,Yosys abc delay target 20,14.073,Yosys abc delay target 20
ex223,ex223_fp16_log_casez_sign_abc_d21,fp16_log,abc_d21,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_abc_d21.aig,1,1,1,11189,22,246158,120549,2.041975,0,0,synthflow_exact,Yosys abc delay target 21,14.225,Yosys abc delay target 21
ex223,ex223_fp16_log_casez_sign_abc_d22,fp16_log,abc_d22,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_abc_d22.aig,1,1,1,11189,22,246158,120549,2.041975,0,0,synthflow_exact,Yosys abc delay target 22,14.269,Yosys abc delay target 22
ex223,ex223_fp16_log_casez_sign_abc_d24,fp16_log,abc_d24,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_abc_d24.aig,1,1,1,11189,22,246158,120549,2.041975,0,0,synthflow_exact,Yosys abc delay target 24,13.805,Yosys abc delay target 24
ex223,ex223_fp16_log_casez_sign_abc_fast,fp16_log,abc_fast,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_abc_fast.aig,1,1,1,14965,26,389090,120549,3.227650,0,0,synthflow_exact,Yosys abc fast script,13.823,Yosys abc fast script
ex223,ex223_fp16_log_casez_sign_abc_g_aig,fp16_log,abc_g_aig,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_abc_g_aig.aig,1,1,1,11148,21,234108,120549,1.942015,0,0,synthflow_exact,Yosys abc gate set aig,14.306,Yosys abc gate set aig
ex223,ex223_fp16_log_casez_sign_abc_g_and_mux,fp16_log,abc_g_and_mux,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_abc_g_and_mux.aig,1,1,1,11536,25,288400,120549,2.392388,0,0,synthflow_exact,"Yosys abc gate set AND,MUX",14.556,"Yosys abc gate set AND,MUX"
ex223,ex223_fp16_log_casez_sign_abc_g_simple,fp16_log,abc_g_simple,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_abc_g_simple.aig,1,1,1,11823,24,283752,120549,2.353831,0,0,synthflow_exact,Yosys abc gate set simple,15.307,Yosys abc gate set simple
ex223,ex223_fp16_log_casez_sign_default_recheck,fp16_log,default_recheck,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_default_recheck.aig,1,1,1,11189,22,246158,120549,2.041975,0,0,synthflow_exact,current project Yosys script sanity recheck,12.242,current project Yosys script sanity recheck
ex223,ex223_fp16_log_casez_sign_extra_opt_share,fp16_log,extra_opt_share,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/verilog/ex223_fp16_log_casez_sign.v,student/work/ex223_ex224_frontend_yosys_synthflow_20260607_0910/ex223/aigs/ex223_fp16_log_casez_sign_extra_opt_share.aig,1,1,1,11190,23,257370,120549,2.134982,0,0,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap,16.965,extra opt_reduce/opt_muxtree/wreduce/share before techmap
