case,policy,bits,nodes,classes,max_group_nodes,is_default
ex287,f00,0:1:2:3,2815,16,182,0
ex287,f00,0:1:2:4,3050,16,220,0
ex287,f00,0:1:2:5,3546,16,230,0
ex287,f00,0:1:2:6,3040,16,213,0
ex287,f00,0:1:2:7,3647,16,247,0
ex287,f00,0:1:2:8,2497,16,191,0
ex287,f00,0:1:2:9,3130,16,216,0
ex287,f00,0:1:2:10,2471,16,166,0
ex287,f00,0:1:2:11,2445,16,175,0
ex287,f00,0:1:2:12,2681,16,191,0
ex287,f00,0:1:2:13,3148,16,216,0
ex287,f00,0:1:3:4,3248,16,238,0
ex287,f00,0:1:3:5,3748,16,245,0
ex287,f00,0:1:3:6,3172,16,223,0
ex287,f00,0:1:3:7,3816,16,261,0
ex287,f00,0:1:3:8,2763,16,212,0
ex287,f00,0:1:3:9,3369,16,236,0
ex287,f00,0:1:3:10,2577,16,172,0
ex287,f00,0:1:3:11,2534,16,183,0
ex287,f00,0:1:3:12,2898,16,202,0
ex287,f00,0:1:3:13,3312,16,225,0
ex287,f00,0:1:4:5,3053,12,283,0
ex287,f00,0:1:4:6,3764,16,281,0
ex287,f00,0:1:4:7,4383,16,343,0
ex287,f00,0:1:4:8,3487,16,285,0
ex287,f00,0:1:4:9,4049,16,319,0
ex287,f00,0:1:4:10,2837,16,210,0
ex287,f00,0:1:4:11,2676,16,203,0
ex287,f00,0:1:4:12,3189,16,235,0
ex287,f00,0:1:4:13,3666,16,270,0
ex287,f00,0:1:5:6,4278,16,316,0
ex287,f00,0:1:5:7,4683,16,335,0
ex287,f00,0:1:5:8,3911,16,296,0
ex287,f00,0:1:5:9,4570,16,324,0
ex287,f00,0:1:5:10,3191,16,216,0
ex287,f00,0:1:5:11,3068,16,211,0
ex287,f00,0:1:5:12,3651,16,244,0
ex287,f00,0:1:5:13,4164,16,279,0
ex287,f00,0:1:6:7,3365,12,301,0
ex287,f00,0:1:6:8,3448,16,270,0
ex287,f00,0:1:6:9,4039,16,296,0
ex287,f00,0:1:6:10,2821,16,198,0
ex287,f00,0:1:6:11,2648,16,194,0
ex287,f00,0:1:6:12,3123,16,216,0
ex287,f00,0:1:6:13,3572,16,248,0
ex287,f00,0:1:7:8,3838,16,303,0
ex287,f00,0:1:7:9,4539,16,333,0
ex287,f00,0:1:7:10,3310,16,228,0
ex287,f00,0:1:7:11,3132,16,226,0
ex287,f00,0:1:7:12,3716,16,259,0
ex287,f00,0:1:7:13,4210,16,295,0
ex287,f00,0:1:8:9,2582,12,232,0
